회사명,거래소코드,회계년도,[제조]총자본증가율(IFRS연결),[제조]비유동자산증가율(IFRS연결),[제조]유동자산증가율(IFRS연결),[제조]자기자본증가율(IFRS연결),[제조]매출액증가율(IFRS연결),[제조]정상영업이익증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]총포괄이익증가율(IFRS연결)
(주)갤럭시아에스엠,011420,2012/12,0,0,0,0,0,0,0,0
(주)갤럭시아에스엠,011420,2013/12,-14.42,-7.75,-19.61,-12.13,-15.64,-63.98,0,-358.12
(주)갤럭시아에스엠,011420,2014/12,20.29,4.48,34.39,7.97,-5.49,0,0,0
(주)갤럭시아에스엠,011420,2015/12,51.71,30.92,66.12,114.34,42.35,0,0,127.04
(주)갤럭시아에스엠,011420,2016/12,-14.91,-15.44,-14.62,-9.84,-15.76,-276.76,-183.84,-222.77
(주)갤럭시아에스엠,011420,2017/12,-14.74,2.75,-24.2,-9.71,-29.16,0,0,0
(주)갤럭시아에스엠,011420,2018/12,-33.27,-9.86,-50.43,-34.63,-40.83,0,0,0
(주)갤럭시아에스엠,011420,2019/12,-15.07,-23.18,-4.26,-17.65,30.25,0,0,0
(주)갤럭시아에스엠,011420,2020/12,,,,,,,,
(주)갤럭시아에스엠,011420,2021/12,,,,,,,,
(주)경농,002100,2011/12,0,0,0,0,0,0,0,0
(주)경농,002100,2012/12,0,0,0,0,0,0,0,0
(주)경농,002100,2013/12,-4.98,-0.34,-9.11,6.67,43.36,47.54,23.73,7.68
(주)경농,002100,2014/12,11.19,14.64,7.81,2.85,-4.01,-21.99,-44.35,-45.26
(주)경농,002100,2015/12,11.14,7.02,15.42,3.02,4.21,-17.35,-10.12,1.71
(주)경농,002100,2016/12,1.45,6.25,-3.18,2.98,3.85,-24.3,-3.58,-8.82
(주)경농,002100,2017/12,4.66,4.6,4.73,3.31,1.25,-7.86,55.69,36.26
(주)경농,002100,2018/12,6.37,8.61,4,3.42,2.96,74.84,-45.49,-46.64
(주)경농,002100,2019/12,3.81,-0.76,8.85,0.56,6.99,-41.16,-18.01,8.47
(주)경농,002100,2020/12,0.18,-3.67,4.04,4.74,9.14,64.34,177.87,132.88
(주)경농,002100,2021/12,4.65,1.79,7.3,10.18,8.85,17.34,26.02,31.89
(주)경동나비엔,009450,2011/12,10.31,11.35,9.25,4.66,11.09,11.68,20.56,43.31
(주)경동나비엔,009450,2012/12,13.87,15.45,12.24,4.68,11.07,12.11,-2.36,-20.17
(주)경동나비엔,009450,2013/12,18.37,43,-7.79,6.55,9.28,42.08,20.9,55.9
(주)경동나비엔,009450,2014/12,13.21,9.5,19.33,1.4,3.58,-31.94,-17.41,-34.56
(주)경동나비엔,009450,2015/12,0.11,0.88,-1.06,8.48,19.36,79.9,80.96,107.59
(주)경동나비엔,009450,2016/12,6.88,4.31,10.85,15.78,13.91,89.21,122.2,94.41
(주)경동나비엔,009450,2017/12,17.21,7.26,31.62,8.66,17.39,4.2,-28.44,-30.39
(주)경동나비엔,009450,2018/12,15.86,8.72,24.3,9.11,6.15,-14.56,-6.3,-3.13
(주)경동나비엔,009450,2019/12,4.49,13.13,-4.43,7.48,6.54,9.86,12.51,6.88
(주)경동나비엔,009450,2020/12,20.48,11.55,31.41,15.74,12.8,49.69,49.48,58.42
(주)경동나비엔,009450,2021/12,27.11,22.45,31.95,29.37,26.28,-4.18,93.71,123.15
(주)경동도시가스,267290,2017/12,,,,,,,,
(주)경동도시가스,267290,2018/12,9.57,0.18,17.88,8.92,84.33,96.9,91.84,74.9
(주)경동도시가스,267290,2019/12,-3.63,6.23,-11.05,5.98,-11.44,-34.23,-28.03,-28.25
(주)경동도시가스,267290,2020/12,-6.71,4.6,-16.87,5.08,-23.61,-35.36,-22.62,-3.36
(주)경동도시가스,267290,2021/12,0,0,0,0,0,0,0,0
(주)경동인베스트,012320,2011/12,22.21,4.67,36.91,7.47,35.8,-20.78,-30.11,-26.23
(주)경동인베스트,012320,2012/12,20.81,1.23,33.36,9.54,35.45,39.16,41.44,32.09
(주)경동인베스트,012320,2013/12,-0.41,7.82,-4.41,11.76,11.41,1.29,15.8,33.67
(주)경동인베스트,012320,2014/12,9.61,29.85,-1.49,12.29,-6.64,-5.16,47.04,12.11
(주)경동인베스트,012320,2015/12,-11.58,7.54,-25.41,-3.86,-38.37,0,0,-127.62
(주)경동인베스트,012320,2016/12,-3.57,3.54,-10.98,1.71,-26.32,0,0,0
(주)경동인베스트,012320,2017/12,-46.78,-41.51,-53.17,-35.09,-83.5,26.9,173.81,104.58
(주)경동인베스트,012320,2018/12,-1.21,11.8,-20.93,10.37,17.21,7.78,-44.62,-61.65
(주)경동인베스트,012320,2019/12,2.27,-8.56,25.48,4.42,18.86,-44,-66.62,-54.43
(주)경동인베스트,012320,2020/12,-2.67,-4.55,0.26,3.73,14.27,-11.36,67.44,94.28
(주)경동인베스트,012320,2021/12,-1.97,-1.93,-2.02,2.32,-3.89,-28.63,-3.99,-41.79
(주)경방,000050,2011/12,1.76,-0.17,22.46,-0.58,2.59,-53.86,0,-112.48
(주)경방,000050,2012/12,-1.28,-0.19,-10.81,-1.43,-4.17,-67.31,0,0
(주)경방,000050,2013/12,-2.85,-1.47,-16.39,2.54,4.07,396.72,0,0
(주)경방,000050,2014/12,0.37,0.59,-2.11,1.76,-5.23,-15.02,-21.27,-18.36
(주)경방,000050,2015/12,1.29,0.83,6.78,2.36,8.69,27.25,45.31,40.53
(주)경방,000050,2016/12,-1.27,-1.21,-1.93,2.55,5.54,11.49,76.59,76.41
(주)경방,000050,2017/12,-2.14,-1.01,-14.86,2.84,-4.41,-2.6,-14.13,-17.55
(주)경방,000050,2018/12,2.18,-0.23,33.75,1.38,-2.59,-3.14,-20.23,-16.77
(주)경방,000050,2019/12,5.3,-6.37,119.42,4.62,-2.15,-21.86,115.99,113.16
(주)경방,000050,2020/12,-7.72,3.77,-55.7,0.05,-4.27,-31.75,-70.13,-82.63
(주)경방,000050,2021/12,0,0,0,0,0,0,0,0
(주)경보제약,214390,2015/12,,,,,,,,
(주)경보제약,214390,2016/12,,,,,,,,
(주)경보제약,214390,2017/12,,,,,,,,
(주)경보제약,214390,2018/12,,,,,,,,
(주)경보제약,214390,2019/12,,,,,,,,
(주)경보제약,214390,2020/12,,,,,,,,
(주)경보제약,214390,2021/12,,,,,,,,
(주)경인양행,012610,2011/12,-0.67,-0.1,-1.19,0.53,-12.89,-38.8,-57.26,-52.52
(주)경인양행,012610,2012/12,-10.06,-7.91,-12.04,0.47,-6.22,-42.69,-9.38,-13.87
(주)경인양행,012610,2013/12,10.26,-0.11,20.27,9.53,19.31,206.1,352.45,467.87
(주)경인양행,012610,2014/12,-1.23,5.23,-6.41,4.83,6.28,26.44,-8.47,-20.72
(주)경인양행,012610,2015/12,4.36,1.07,7.33,0.61,-5.06,-52.33,-80.98,-79.77
(주)경인양행,012610,2016/12,5.39,1.91,8.35,3.1,4.45,57.44,171.48,163.43
(주)경인양행,012610,2017/12,3.97,7.77,0.93,1.01,9.14,-30.37,-30.24,-48.25
(주)경인양행,012610,2018/12,15.38,8.14,21.55,6.41,10.37,167.37,269.59,369.4
(주)경인양행,012610,2019/12,14.31,23.58,7.27,5.63,8.37,19.62,5.71,16.29
(주)경인양행,012610,2020/12,6.99,9.87,4.48,-4.42,-8.22,-85.69,0,-172.42
(주)경인양행,012610,2021/12,14.73,4.95,23.71,10.3,22.48,741.42,0,0
(주)고려시멘트,198440,2014/12,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,
(주)고려시멘트,198440,2017/12,,,,,,,,
(주)고려시멘트,198440,2018/12,,,,,,,,
(주)고려시멘트,198440,2019/12,,,,,,,,
(주)고려시멘트,198440,2020/12,,,,,,,,
(주)고려시멘트,198440,2021/12,,,,,,,,
(주)고바이오랩,348150,2020/12,0,0,0,0,0,0,0,0
(주)고바이오랩,348150,2021/12,79.86,816.69,70.59,63.54,-36.98,0,0,0
(주)고영테크놀러지,098460,2011/12,23.1,20.36,24.16,26.19,18.06,-8.15,-4.46,-4.33
(주)고영테크놀러지,098460,2012/12,18.79,7.56,22.99,19.87,25.21,13.93,-2.55,-6.3
(주)고영테크놀러지,098460,2013/12,17.03,2.2,21.88,17.98,3.77,-21.78,-8.36,-9.02
(주)고영테크놀러지,098460,2014/12,17.17,26.92,14.49,17.86,27.65,67.86,58.83,69.64
(주)고영테크놀러지,098460,2015/12,12.09,11.95,12.14,13.43,2.15,-16.71,6.03,4.82
(주)고영테크놀러지,098460,2016/12,22.83,8.66,27.13,19.62,17.74,41.51,26.71,24.92
(주)고영테크놀러지,098460,2017/12,5.17,9,4.17,2.83,18.38,31.84,-10.2,-9.03
(주)고영테크놀러지,098460,2018/12,35.99,17.43,41.03,40.01,17.13,5.11,58.71,59.48
(주)고영테크놀러지,098460,2019/12,9.47,54.74,-0.78,7.88,-6.78,-27.51,-30.13,-30.22
(주)고영테크놀러지,098460,2020/12,-0.95,36.99,-14.34,0.98,-19.14,-52.47,-69.01,-67.54
(주)고영테크놀러지,098460,2021/12,0,0,0,0,0,0,0,0
(주)골드앤에스,035290,2011/12,3.62,-15.35,33.08,3.75,-5.87,0,0,0
(주)골드앤에스,035290,2012/12,11.3,9.01,13.56,14.17,-7.65,0,0,-904.24
(주)골드앤에스,035290,2013/12,-0.98,40.97,-40.76,-60.53,-9.89,0,0,0
(주)골드앤에스,035290,2014/12,-9.55,-11.76,-4.56,-12.14,-20.89,0,0,0
(주)골드앤에스,035290,2015/12,-48.2,-72.22,1.94,70.64,-29.05,0,0,0
(주)골드앤에스,035290,2016/12,-22.53,14.57,-43.63,-5.88,-28.4,-64.85,0,0
(주)골드앤에스,035290,2017/12,-8.02,-36.64,25.06,-6.42,-19.45,-1018.76,-2141.05,0
(주)골드앤에스,035290,2018/12,147.31,238.03,94.18,3.24,-32.19,0,0,0
(주)골드앤에스,035290,2020/12,28.19,-4.9,131.33,0,-45.85,0,0,0
(주)골드앤에스,035290,2021/12,26.71,15.3,41.32,5.4,226.35,0,-52.88,-53.17
(주)골드퍼시픽,038530,2011/12,,,,,,,,
(주)골드퍼시픽,038530,2012/12,,,,,,,,
(주)골드퍼시픽,038530,2013/12,0,0,0,0,0,0,0,0
(주)골드퍼시픽,038530,2014/12,0,0,0,0,0,0,0,0
(주)골드퍼시픽,038530,2015/12,-31.89,-20.97,-40.13,35.22,13.04,0,0,0
(주)골드퍼시픽,038530,2016/12,,,,,,,,
(주)골드퍼시픽,038530,2017/12,,,,,,,,
(주)골드퍼시픽,038530,2018/12,0,0,0,0,0,0,0,0
(주)골드퍼시픽,038530,2019/12,,,,,,,,
(주)골드퍼시픽,038530,2020/12,,,,,,,,
(주)골드퍼시픽,038530,2021/12,,,,,,,,
(주)골프존,215000,2015/12,,,,,,,,
(주)골프존,215000,2016/12,0,0,0,0,0,0,0,0
(주)골프존,215000,2017/12,34.99,-5.15,78.87,56.94,-7.77,-17.57,117.07,113.62
(주)골프존,215000,2018/12,0.15,16.88,-9.54,2.99,-0.7,-24.82,-74.25,-73.57
(주)골프존,215000,2019/12,23.04,112.2,-43.74,2.63,24.31,14.69,-20.6,-19.55
(주)골프존,215000,2020/12,17.5,7.96,44.45,12.26,20.85,59.68,136.01,123.18
(주)골프존,215000,2021/12,31.67,-3.22,105.32,28.18,47.5,108.78,99.43,107.66
(주)골프존뉴딘홀딩스,121440,2011/12,100.9,115.64,95.97,114.66,13.4,-17.18,-31.79,-32.56
(주)골프존뉴딘홀딩스,121440,2012/12,43.08,168.83,-3.24,17.98,34.22,26.75,57.8,56.68
(주)골프존뉴딘홀딩스,121440,2013/12,17.92,30.7,4.83,3.14,26.07,16.65,-96.19,-99.44
(주)골프존뉴딘홀딩스,121440,2014/12,19.47,63.67,-36.93,14.57,17.66,27.21,2726.3,19633.07
(주)골프존뉴딘홀딩스,121440,2015/12,0.69,14.5,-45.03,12.7,-61.7,0,999.37,1000.34
(주)골프존뉴딘홀딩스,121440,2016/12,-0.85,-1.75,5.31,-3.8,47.86,0,-99.54,-99.54
(주)골프존뉴딘홀딩스,121440,2017/12,-0.56,-2.93,14.69,-5.02,-12.13,-50.22,-636.22,-646.19
(주)골프존뉴딘홀딩스,121440,2018/12,2.41,5.57,-14.81,-3.25,4.34,-93.95,0,0
(주)골프존뉴딘홀딩스,121440,2019/12,0.21,-3.57,25.76,-7.41,2.64,-425.38,0,0
