회사명,거래소코드,회계년도,[제조]총자본증가율(IFRS),[제조]비유동자산증가율(IFRS),[제조]유동자산증가율(IFRS),[제조]자기자본증가율(IFRS),[제조]매출액증가율(IFRS),[제조]정상영업이익증가율(IFRS),[제조]순이익증가율(IFRS),[제조]총포괄이익증가율(IFRS)
(주)ES큐브,050120,2011/12,-5.43,22.79,-28.54,-6.99,20.38,0,0,0
(주)ES큐브,050120,2012/12,-1.23,9.82,-16.79,1.88,5.94,0,0,0
(주)ES큐브,050120,2013/12,6.34,-48.39,108.04,9.61,3.72,-66.38,0,-3063.17
(주)ES큐브,050120,2014/12,-5.46,56.34,-33.95,-5.69,-18.84,50.09,0,0
(주)ES큐브,050120,2015/12,4.92,4.68,5.18,8.84,-0.81,627.37,0,0
(주)ES큐브,050120,2016/12,121.67,148.93,92.07,55.62,-5.61,-0.47,383.86,362.16
(주)ES큐브,050120,2017/12,0.37,-1.61,3.16,2.24,6.57,-8.03,-93.02,-90.8
(주)ES큐브,050120,2018/12,3.46,32.18,-35.09,-6.83,-15.62,-68.14,0,-286.43
(주)ES큐브,050120,2019/12,25.43,40.72,-16.37,-18.84,-8.88,-15.01,0,0
(주)ES큐브,050120,2020/12,-39.74,-33.37,-69.03,35.13,6.19,147.19,0,0
(주)ES큐브,050120,2021/12,-7.1,-13.1,52.27,-10.49,35.69,61.11,0,0
(주)HJ중공업,097230,2011/12,-7.37,7.24,-24.64,-6.32,-15.3,-41.65,0,0
(주)HJ중공업,097230,2012/12,1.38,-4.23,10.82,-0.61,-14.48,-51.91,0,0
(주)HJ중공업,097230,2013/12,-1.66,10.56,-19.43,-3.16,-2.7,0,0,0
(주)HJ중공업,097230,2014/12,-6.33,-7.16,-4.68,-2.37,-6.66,0,0,0
(주)HJ중공업,097230,2015/12,-15.2,-16.5,-12.67,-21.82,13.47,0,0,0
(주)HJ중공업,097230,2016/12,-15.45,-26.64,5.33,-34.36,-5.52,0,0,0
(주)HJ중공업,097230,2017/12,-15.54,-13.12,-18.66,-37.69,-9.91,75.76,0,0
(주)HJ중공업,097230,2019/12,3.24,15.99,-6.03,0,-8.08,0,0,0
(주)HJ중공업,097230,2020/12,-11.22,-3.8,-17.87,29.58,5.29,-33.7,0,0
(주)HJ중공업,097230,2021/12,8.77,27.66,-11.09,34.89,0.66,0,0,52.82
(주)MH에탄올,023150,2011/12,6.52,21.42,-29.57,6,-0.23,-24.99,-26.85,-30.23
(주)MH에탄올,023150,2012/12,2.41,5.86,-12.01,4.54,5.28,-5.64,-23.28,-19.69
(주)MH에탄올,023150,2013/12,-11.98,-16.75,11.99,-19.75,1.78,48.04,0,-556.62
(주)MH에탄올,023150,2014/12,-30.42,-40.78,8.31,11.43,5.8,-9.36,0,0
(주)MH에탄올,023150,2015/12,-7.7,-0.53,-22.34,9.64,2.86,26.84,67.7,73.88
(주)MH에탄올,023150,2016/12,-8.47,-6.79,-12.88,9.88,-2.96,7.06,5.04,8.37
(주)MH에탄올,023150,2017/12,49.17,68.09,-3.8,2.28,-1.28,-11.99,-27.43,-29.26
(주)MH에탄올,023150,2018/12,2.07,2.32,0.82,5.83,-2.75,-13.63,11.02,27.69
(주)MH에탄올,023150,2019/12,-7.84,-9.14,-1.39,-13.14,0.1,-13.29,0,-173.96
(주)MH에탄올,023150,2020/12,-3.51,-7.13,13.09,-3.14,9.12,5.24,0,0
(주)MH에탄올,023150,2021/12,1.26,3.38,-6.74,0.78,-10.5,-55.39,327.07,565.27
(주)SH에너지화학,002360,2011/12,8.37,1.35,17.75,4.81,14.9,0,0,0
(주)SH에너지화학,002360,2012/12,0.11,-1.85,2.35,0.6,11.09,-42.37,-65.88,-67.32
(주)SH에너지화학,002360,2013/12,7.31,-2.83,18.48,7.54,19.74,150.58,348.43,405.89
(주)SH에너지화학,002360,2014/12,-0.81,2.68,-3.96,19.52,-1.22,181.47,221.57,212.39
(주)SH에너지화학,002360,2015/12,4.54,-6.16,14.87,8.8,-5.77,12.95,-18.82,-19.07
(주)SH에너지화학,002360,2016/12,7.81,-13.79,24.86,13.6,0.23,3.06,39.04,39.22
(주)SH에너지화학,002360,2017/12,0.25,1.73,-0.56,2.56,-13.86,-44.11,-49.33,-49.28
(주)SH에너지화학,002360,2018/12,-1.92,-1.85,-1.96,-1.56,-2.12,-78.68,-68.93,-70.45
(주)SH에너지화학,002360,2019/12,0.19,6.99,-3.61,-6.42,-23.56,0,0,-247.64
(주)SH에너지화학,002360,2020/12,-3.76,12.41,-13.78,-7.77,-33.88,0,0,0
(주)SH에너지화학,002360,2021/12,1.59,-7.29,8.76,1.59,52.47,0,0,0
(주)SIMPAC,009160,2011/12,14.14,13.81,14.45,14.48,18.43,24.95,42.4,47.77
(주)SIMPAC,009160,2012/12,3.51,7.54,-0.38,14.12,4.67,-7.57,6.23,10.19
(주)SIMPAC,009160,2013/12,13.82,55.24,-29.28,11.29,-8.63,-6.2,-14.75,-7.8
(주)SIMPAC,009160,2014/12,-5.86,-13.16,10.8,3.03,11.23,-21.08,-46.77,-64.14
(주)SIMPAC,009160,2015/12,12.15,9.46,16.97,7.94,-6.3,26.12,90.33,120.21
(주)SIMPAC,009160,2016/12,-0.84,-1.42,0.13,4.03,1.26,-9.41,-15.45,-16.89
(주)SIMPAC,009160,2017/12,-6.35,-4.29,-9.73,-2.26,-5.88,-34.73,-56.62,-63.24
(주)SIMPAC,009160,2018/12,83.19,62.74,118.93,83.71,32.35,-48.35,774.43,1006.99
(주)SIMPAC,009160,2019/12,-3.13,8.24,-17.9,1.97,45.79,16.94,-81.55,-80.69
(주)SIMPAC,009160,2020/12,7.87,3.22,15.85,3.58,-30.58,-18.28,128.57,123.98
(주)SIMPAC,009160,2021/12,21.34,-4.27,60.44,13.1,80.4,1062.71,148.33,148.33
(주)SNT에너지,100840,2011/12,8.9,-0.13,18.56,-4.06,-8.7,0,0,-236.31
(주)SNT에너지,100840,2012/12,5.89,0.22,11,14.14,18.12,0,0,0
(주)SNT에너지,100840,2013/12,6.45,-0.74,12.29,8.11,-12.98,11.05,78.15,79.57
(주)SNT에너지,100840,2014/12,-2.3,2.8,-5.96,4.82,20.92,-18.01,-30.42,-28.28
(주)SNT에너지,100840,2015/12,3.84,-1.4,7.96,11.4,7.15,146.18,139.96,133.27
(주)SNT에너지,100840,2016/12,10.07,3.13,15.05,-0.69,-2.31,-96.48,-93.86,-92.87
(주)SNT에너지,100840,2017/12,-13.73,-6.55,-18.34,1.75,-27.55,1506.66,176.05,106.89
(주)SNT에너지,100840,2018/12,-6.42,-1.48,-10.06,-1.09,-24.21,0,-60.16,-47.07
(주)SNT에너지,100840,2019/12,17.94,2.95,30.03,6.17,45.38,0,698.64,575.7
(주)SNT에너지,100840,2020/12,0.2,2.92,-1.53,-3.66,13.4,54.72,-35.47,-33.92
(주)SNT에너지,100840,2021/12,-2.99,0.17,-5.1,3.77,-28.06,-39.64,37.53,36.6
(주)SNT홀딩스,036530,2011/12,-2.29,-11.32,99.14,-2.21,9.15,0,20.71,20.36
(주)SNT홀딩스,036530,2012/12,0.22,7.66,-37,0.2,286.13,0,56.27,56.88
(주)SNT홀딩스,036530,2013/12,2.15,-0.03,20.79,2.12,1.24,3.4,-11.02,-11.08
(주)SNT홀딩스,036530,2014/12,0.48,1.16,-4.33,0.51,-12.74,-13.83,-14.05,-14.75
(주)SNT홀딩스,036530,2015/12,7.85,-6.14,112.49,5.78,10.04,12.63,302.89,281.18
(주)SNT홀딩스,036530,2016/12,-0.83,-0.3,-2.59,1.13,15.85,19.05,-75.07,-66.85
(주)SNT홀딩스,036530,2017/12,-0.37,-0.71,0.8,-0.36,-24.45,-32.48,-39.73,-53.92
(주)SNT홀딩스,036530,2018/12,-0.62,1.85,-8.83,-0.6,-1.7,-0.18,49.03,76.35
(주)SNT홀딩스,036530,2019/12,-1.33,15.66,-64.56,-1.33,51.07,66.76,48.67,30.25
(주)SNT홀딩스,036530,2020/12,1.63,4.18,-29.43,1.62,129.76,155.5,148.28,151.81
(주)SNT홀딩스,036530,2021/12,0.41,0.18,4.5,0.32,-25.34,-28.17,-27.93,-28.06
(주)STX,011810,2011/12,16.98,22.07,6.64,24.6,30.76,-14.85,843.67,801.14
(주)STX,011810,2012/12,-2.28,2.64,-13.71,-3.53,-1.36,-71.26,0,-126.86
(주)STX,011810,2014/12,-1.48,-23.33,13.74,0,-31.86,0,0,0
(주)STX,011810,2015/12,-1.2,15.31,-8.96,31.74,5.48,0,0,-107.68
(주)STX,011810,2016/12,-40.65,-52.76,-33.44,0,7.59,0,0,0
(주)STX,011810,2017/12,-17.09,-8.52,-20.71,0,8.87,0,0,0
(주)STX,011810,2018/12,-14.15,-12.66,-14.88,39.15,-16.65,0,-98.51,-97.61
(주)STX,011810,2019/12,3.58,14.33,-1.8,-18.64,-6.92,0,0,-554.89
(주)STX,011810,2020/12,-21.58,21.11,-46.44,-48.92,-36.31,0,0,0
(주)STX,011810,2021/12,7.25,5.76,9.22,132.36,-17.84,0,0,0
(주)TCC스틸,002710,2011/12,11.29,13.81,7.73,1.2,10.88,-35.7,-50.1,-71.51
(주)TCC스틸,002710,2012/12,7.58,10.54,3.16,2.01,-3.58,-7.16,-38.4,101.59
(주)TCC스틸,002710,2013/12,1.27,8.94,-11.02,0.16,-4.79,-28.5,-90.69,-64.66
(주)TCC스틸,002710,2014/12,3.85,8.84,-5.93,0,-4.33,30.19,161.02,-61.97
(주)TCC스틸,002710,2015/12,-28.32,-59.85,43.15,-63.56,-12.77,34.06,0,-16759.01
(주)TCC스틸,002710,2016/12,-24.13,19.71,-52,20.99,-9.38,-8.78,0,0
(주)TCC스틸,002710,2017/12,-0.79,-4.48,5.06,-3.24,5.21,-49.14,0,-103.25
(주)TCC스틸,002710,2018/12,7.73,-5.08,26.21,9.73,5.26,141.22,0,0
(주)TCC스틸,002710,2019/12,0.79,6.36,-5.24,-0.86,-3.41,-22.38,-73.61,-62.77
(주)TCC스틸,002710,2020/12,-3.35,1.68,-9.47,0.77,-4.69,-80.93,0,-240.01
(주)TCC스틸,002710,2021/12,18.3,-4.58,49.57,29.87,26.1,859.31,0,0
(주)가비아,079940,2011/12,8.47,15.03,-7.53,12.83,29.64,-0.69,5.39,9.95
(주)가비아,079940,2012/12,38.88,50.38,3.97,28.26,13.88,-25,75.88,84.01
(주)가비아,079940,2013/12,0.69,-0.93,7.77,11.74,5.26,2.91,-34,-32.05
(주)가비아,079940,2014/12,7.35,-1.73,43.97,9.55,8.39,13.71,-18.75,-21.24
(주)가비아,079940,2015/12,2.99,-2.06,16.9,11.33,10.34,31.31,39.37,48.67
(주)가비아,079940,2016/12,6.08,21.64,-29.82,6.93,2.03,-12.14,-17.36,-27.25
(주)가비아,079940,2017/12,6.25,1.93,23.53,4.95,5.94,-20.23,-29.64,-20.82
(주)가비아,079940,2018/12,6.66,2.12,21.65,4.55,5.41,29.27,10.79,-3.01
(주)가비아,079940,2019/12,19.69,36.2,-26.03,8.53,5.54,19.07,68.48,81.27
(주)가비아,079940,2020/12,18.22,12.04,49.74,7.91,10.03,45.83,2.22,3.76
(주)가비아,079940,2021/12,9.6,8.8,12.63,9.23,12.13,6.71,-7.25,-4.12
(주)강스템바이오텍,217730,2015/12,0,0,0,0,0,0,0,0
(주)강스템바이오텍,217730,2016/12,89.9,55.69,100.92,8.19,-43.23,0,0,0
(주)강스템바이오텍,217730,2017/12,-6.18,113.1,-35.95,7.36,540.04,0,0,0
(주)강스템바이오텍,217730,2018/12,48.7,9.51,81.24,94.36,-81.44,0,0,0
(주)강스템바이오텍,217730,2019/12,49.02,119.28,13.76,47.76,-71.82,0,0,0
(주)강스템바이오텍,217730,2020/12,-30.95,-41.64,-20.62,-27.4,4.72,0,0,0
(주)강스템바이오텍,217730,2021/12,32.43,-2.31,57.13,36.37,1171.84,0,0,0
(주)강원랜드,035250,2011/12,4.37,0.83,9.95,8.09,-3.79,-11.17,-9.45,-11.03
(주)강원랜드,035250,2012/12,6.78,11.43,0.06,4.61,2.31,-16.82,-24.63,-24.1
(주)강원랜드,035250,2013/12,6.52,15.26,-7.55,5.91,4.95,-4.37,-1.14,-0.56
(주)강원랜드,035250,2014/12,8.86,-2.01,30.65,7.62,9.98,32.05,24.11,15.77
(주)강원랜드,035250,2015/12,9.1,-3.89,28.64,10.36,9.29,14.74,18.32,33.33
(주)강원랜드,035250,2016/12,7.81,11.53,3.62,8.52,3.9,3.48,5.7,0.08
(주)강원랜드,035250,2017/12,5.19,-6.9,19.83,7.63,-5.41,-14.25,-3.93,-1.15
(주)강원랜드,035250,2018/12,1.13,22.37,-18.85,2.45,-10.41,-18.84,-31.98,-36.19
(주)강원랜드,035250,2019/12,4.89,3.55,6.79,3.68,5.68,15.61,12.88,14.24
(주)강원랜드,035250,2020/12,-18.04,-16.29,-20.46,-12.74,-68.54,0,0,-189.02
(주)강원랜드,035250,2021/12,5,1.15,10.56,0.14,64.9,0,0,0
(주)강원에너지,114190,2011/11,87.32,14.38,102.88,27.16,64.02,270.35,235.2,235.2
(주)강원에너지,114190,2011/12,0,0,0,0,0,0,0,0
(주)강원에너지,114190,2012/12,0,0,0,0,0,0,0,0
(주)강원에너지,114190,2013/12,-18.84,24.16,-23.52,27.06,-52.42,-72.15,-56.3,-64.25
(주)강원에너지,114190,2014/12,-7.46,67.54,-20.72,9.96,1.62,-49.72,-71.36,-63.38
(주)강원에너지,114190,2015/12,20.74,21.7,20.38,8.79,-5.11,-46,-21.14,85.07
(주)강원에너지,114190,2016/12,-12.46,-5.52,-15.09,-2.07,-9.02,0,0,-150.35
(주)강원에너지,114190,2017/12,23.9,1.22,33.43,-12.33,86.99,0,0,0
(주)강원에너지,114190,2018/12,2.09,-8.02,5.32,4.6,3.36,0,0,0
(주)강원에너지,114190,2019/12,-38.51,26.83,-56.71,-53.53,-50.47,0,0,-1853.39
(주)강원에너지,114190,2020/12,-40.12,-55.12,-27.88,-24.85,-9.88,0,0,0
(주)강원에너지,114190,2021/12,25.88,-8.32,43.24,66.13,15.17,0,0,0
(주)갤럭시아에스엠,011420,2011/12,13.72,1.82,35.03,8.59,-25.23,138,128.39,0
(주)갤럭시아에스엠,011420,2012/12,-1.33,-20.88,25.07,2.5,17.12,-68.96,-92.54,-49.11
(주)갤럭시아에스엠,011420,2013/12,-14.96,-0.14,-27.63,-10.66,-17.37,-59.2,0,-374.64
(주)갤럭시아에스엠,011420,2014/12,18.65,0.75,39.73,4.14,6.87,0,0,0
(주)갤럭시아에스엠,011420,2015/12,65.8,43.5,84.76,116.5,62.85,0,0,396.55
(주)갤럭시아에스엠,011420,2016/12,-16.92,-16.47,-17.22,-11.48,-15.1,0,0,-203.38
(주)갤럭시아에스엠,011420,2017/12,-12.3,5.01,-23.83,-9.71,-19.16,0,0,0
(주)갤럭시아에스엠,011420,2018/12,-31.91,-18.84,-43.9,-33.82,-40.33,0,0,0
(주)갤럭시아에스엠,011420,2019/12,-15.29,-23.26,-4.7,-18.65,30.42,0,0,0
(주)갤럭시아에스엠,011420,2020/12,1.11,-2.27,4.73,-4.95,-32,0,0,0
(주)갤럭시아에스엠,011420,2021/12,43.24,72.54,13.98,59.51,47.9,151.06,274.19,0
(주)경농,002100,2011/12,-11.09,5.33,-23.68,-1.57,-15.6,-42.73,-66.75,-88.89
(주)경농,002100,2012/12,15.12,26.03,3.58,3.76,8.53,70.38,108.93,676.05
(주)경농,002100,2013/12,5.66,8.74,1.71,7.39,6.27,17.23,108.68,67.05
(주)경농,002100,2014/12,7.39,11.41,1.85,3.87,-3.18,-14.42,-32.58,-33.33
(주)경농,002100,2015/12,14.83,11.23,20.25,2.4,2.08,-35.02,-30.01,-20.5
(주)경농,002100,2016/12,0.57,-0.65,2.27,2.12,4.07,-20.79,-11.06,-15.61
(주)경농,002100,2017/12,0.88,0.67,1.17,3.53,-0.02,25.65,99.95,77.88
(주)경농,002100,2018/12,5.97,4.17,8.4,2.25,2.12,67.19,-16.69,-14.52
(주)경농,002100,2019/12,4.27,-1.39,11.59,2.05,3.51,-22.6,-26.54,-11.58
(주)경농,002100,2020/12,0.64,-4.88,6.95,3.34,9.46,0.91,48.11,24.26
(주)경농,002100,2021/12,4.62,10.09,-0.93,8.56,5.5,24.09,134,143.89
(주)경동나비엔,009450,2011/12,11.16,10.45,11.9,4.76,14.37,54.01,58.65,71.18
(주)경동나비엔,009450,2012/12,13.48,14.86,12.05,6.24,7.25,-7.87,-2.44,-0.03
(주)경동나비엔,009450,2013/12,18.4,49.58,-14.85,6.11,8.87,27.65,0.4,13.76
(주)경동나비엔,009450,2014/12,9.82,0.2,27.85,4.02,2.9,8.66,-1.83,-26.56
(주)경동나비엔,009450,2015/12,-1.88,-0.99,-3.21,10.25,17.24,29.36,112.73,138.47
(주)경동나비엔,009450,2016/12,7.02,3.44,12.38,13.49,12.89,75.83,48.21,41.98
(주)경동나비엔,009450,2017/12,12.59,6.86,20.51,5.63,12.59,-12.45,-43.11,-40.87
(주)경동나비엔,009450,2018/12,12.55,7.19,19.12,8.25,8.47,-8.38,40.06,34.35
(주)경동나비엔,009450,2019/12,4.79,7.12,2.22,5.91,6.04,33.63,-10.27,-16.75
(주)경동나비엔,009450,2020/12,16.01,7.33,26.05,10.56,13.87,15.97,-7.75,2.04
(주)경동나비엔,009450,2021/12,24.65,19.91,29.32,28.24,27.44,1.73,229.72,252.41
(주)경동도시가스,267290,2017/12,,,,,,,,
(주)경동도시가스,267290,2018/12,0,0,0,0,0,0,0,0
(주)경동도시가스,267290,2019/12,-3.66,6.24,-11.15,5.94,-11.45,-35.66,-28.33,-28.56
(주)경동도시가스,267290,2020/12,-6.73,4.59,-16.96,5.08,-23.62,-35.5,-22.75,-3.34
(주)경동도시가스,267290,2021/12,29.35,0.81,61.88,5.3,34.1,50.28,17.99,7.28
(주)경동인베스트,012320,2011/12,24.45,9.83,36.63,13.05,40.11,18.69,20.57,20.52
(주)경동인베스트,012320,2012/12,24.14,10,33.62,13.56,33.09,-7.96,13.71,17.63
(주)경동인베스트,012320,2013/12,-0.6,5.3,-3.85,10.22,10.83,-9.35,-18.74,-12.66
(주)경동인베스트,012320,2014/12,-5.2,7.41,-12.81,8.51,-9.93,-18.96,-3.06,-7.54
(주)경동인베스트,012320,2015/12,-15.86,-0.64,-27.19,-2.19,-43.63,-51.38,0,-116.39
(주)경동인베스트,012320,2016/12,-2.44,9.04,-14.1,1.41,-24.51,27.97,0,0
(주)경동인베스트,012320,2017/12,-64.81,-59.31,-71.9,-44.31,-99.94,0,-55.68,-89.7
(주)경동인베스트,012320,2018/12,0.23,32.33,-59.67,0.2,1118.23,0,-78.27,-30.68
(주)경동인베스트,012320,2019/12,-0.69,-0.77,-0.2,-0.68,15.82,0,0,-120.83
(주)경동인베스트,012320,2020/12,-3.03,-0.03,-21.31,-0.9,-10.88,0,0,0
(주)경동인베스트,012320,2021/12,-0.31,-0.97,4.81,-0.23,15.14,32.13,-72.72,-47.26
(주)경방,000050,2011/12,1.78,-0.08,24.34,-0.51,-0.71,-56.99,0,-111.88
(주)경방,000050,2012/12,-2.27,-0.67,-17.83,-1.02,-3.75,-61.5,0,0
(주)경방,000050,2013/12,-3.11,-1.52,-21.85,2.36,-0.24,335.67,0,0
(주)경방,000050,2014/12,1.09,0.81,5.26,-4.96,-2.95,-10.6,-5.75,-5.65
(주)경방,000050,2015/12,-1.22,-1.31,0.11,3.1,19.75,20.36,51.76,53.52
(주)경방,000050,2016/12,-1.79,-1.64,-3.85,2.75,1.99,10.22,43.38,43.53
(주)경방,000050,2017/12,-3.07,-2.5,-11.26,3,-8.21,-7.44,-17.1,-17.14
(주)경방,000050,2018/12,2.29,0.96,23.35,2.56,-3.13,-1.11,13.7,12.03
(주)경방,000050,2019/12,5.68,-5.79,153.86,1.58,-9.15,-0.01,-23.89,-24.03
(주)경방,000050,2020/12,-6.47,6.78,-69.95,2.53,-10.84,-34.89,17.04,18.27
(주)경방,000050,2021/12,0.15,0.2,-0.72,0.95,20.2,13.04,-10.4,-7.81
(주)경보제약,214390,2015/12,16.34,28.09,7.83,79.74,4.86,-7.36,202.34,197.3
(주)경보제약,214390,2016/12,4.22,12.31,-2.74,5.36,4.88,-39.16,-51.34,-48.33
(주)경보제약,214390,2017/12,0.56,-7.17,8.23,9.36,2.64,57.67,41.38,28.34
(주)경보제약,214390,2018/12,8.18,-1.64,16.54,5.3,5.05,-29.77,-26.98,-20.19
(주)경보제약,214390,2019/12,7.31,22.61,-3.69,0.1,-4.79,-64.13,-59.7,-63.41
(주)경보제약,214390,2020/12,6.49,1.24,11.29,4.62,12.3,39.83,77.94,88.21
(주)경보제약,214390,2021/12,-6.42,9.36,-19.56,-6.64,-20.73,0,0,-185.8
(주)경인양행,012610,2011/12,-1.99,0.35,-5.25,0.76,-13.62,167.74,-17.18,1.88
(주)경인양행,012610,2012/12,-1.94,-0.32,-4.36,2.03,9.79,60.26,60.49,69.32
(주)경인양행,012610,2013/12,13.91,3.49,30,9.85,29.58,301.69,175.44,164.03
(주)경인양행,012610,2014/12,-2.64,5.73,-12.93,4.69,3.98,-9.17,-26.26,-25.79
(주)경인양행,012610,2015/12,2.41,0.31,5.55,-0.28,-8.08,-99.32,-98.82,-98.29
(주)경인양행,012610,2016/12,5.94,1.91,11.66,2.75,2.43,2843.16,3370.58,2658.81
(주)경인양행,012610,2017/12,2.37,5,-1.03,-0.09,8.2,-92.76,-85.74,-89.4
(주)경인양행,012610,2018/12,16.17,4.59,32.07,3.87,14.79,7421.82,1296.59,1432.87
(주)경인양행,012610,2019/12,10.48,15.97,4.51,1.44,10.14,18.38,-35.34,-24.31
(주)경인양행,012610,2020/12,1.32,6.44,-4.86,-4.73,-12.59,0,0,-287.1
(주)경인양행,012610,2021/12,19.69,2.48,42.94,8.73,28.85,0,0,0
(주)고려시멘트,198440,2014/12,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,
(주)고려시멘트,198440,2017/12,0,0,0,0,0,0,0,0
(주)고려시멘트,198440,2018/12,10.06,0.31,29.61,11.78,-2.15,27.17,362.85,405.17
(주)고려시멘트,198440,2019/12,-0.39,3.69,-6.73,2.24,-17.32,0,-26.89,-39.76
(주)고려시멘트,198440,2020/12,-9.21,-4.5,-17.34,4.43,-1.04,0,30.88,45.76
(주)고려시멘트,198440,2021/12,27.26,28.04,25.71,26.84,-6.43,-13.62,4.36,473.69
(주)고바이오랩,348150,2020/12,0,0,0,0,0,0,0,0
(주)고바이오랩,348150,2021/12,80.05,576.1,70.54,61.42,-36.98,0,0,0
(주)고영테크놀러지,098460,2011/12,25.26,20.69,27.25,27.98,12.63,0.58,8.92,9.26
(주)고영테크놀러지,098460,2012/12,18.39,6.97,23.11,19.48,25.67,3.88,-10.52,-12.21
(주)고영테크놀러지,098460,2013/12,17.77,1.98,23.45,18.98,3.12,-12.67,-0.13,-1.79
(주)고영테크놀러지,098460,2014/12,16.93,25.14,14.5,18.29,30.4,55.97,53.72,62.97
(주)고영테크놀러지,098460,2015/12,12.9,1.39,16.63,12.86,2.23,-5.61,2.18,-0.01
(주)고영테크놀러지,098460,2016/12,21.33,8.7,24.89,17.97,10.61,18.6,20.59,19.02
(주)고영테크놀러지,098460,2017/12,5.85,20.93,2.14,4.61,23.28,46.63,3.01,6.75
(주)고영테크놀러지,098460,2018/12,36.12,4.31,45.36,39.09,16.35,1.5,46.78,44.1
(주)고영테크놀러지,098460,2019/12,10.01,63.1,-1.06,9.92,-4.7,-13.29,-18.21,-18.55
(주)고영테크놀러지,098460,2020/12,-1.59,29.17,-12.17,0.25,-25.02,-66.12,-78.54,-77.21
(주)고영테크놀러지,098460,2021/12,21,-13.14,38.26,12.97,46.52,222.6,418.59,395.62
(주)골드앤에스,035290,2011/12,4.59,-15.33,36.78,4.28,-5.87,0,0,0
(주)골드앤에스,035290,2012/12,10.17,2.46,17.89,15.97,-7.65,0,0,-753.07
(주)골드앤에스,035290,2013/12,-32.42,-30.44,-34.14,-62.62,-16.59,0,0,0
(주)골드앤에스,035290,2014/12,-16.3,-20.7,-12.25,-7.43,-19.61,0,0,0
(주)골드앤에스,035290,2015/12,-18.3,-35.31,-4.18,65.03,-24.57,0,0,0
(주)골드앤에스,035290,2016/12,-22.47,14.97,-43.45,-5.93,-28.4,-63.31,0,0
(주)골드앤에스,035290,2017/12,-7.11,-38.21,28.32,-7.07,-19.45,0,0,0
(주)골드앤에스,035290,2018/12,149.92,256.14,91.64,5.82,-32.19,0,0,0
(주)골드앤에스,035290,2020/12,28.19,-4.9,131.33,0,-45.85,0,0,0
(주)골드앤에스,035290,2021/12,26.71,15.3,41.32,5.37,226.35,0,-52.88,-53.17
(주)골드퍼시픽,038530,2011/12,18.86,112.9,-12.71,3.59,4.84,232.34,184.76,193.03
(주)골드퍼시픽,038530,2012/12,8.69,-12.42,25.98,5.03,-6.64,-57.89,-74.3,-80.95
(주)골드퍼시픽,038530,2013/12,2.2,34.39,-16.13,-25.35,-38.15,0,0,-4226.15
(주)골드퍼시픽,038530,2014/12,4.65,11.12,-1.25,-1.25,-25.18,0,0,0
(주)골드퍼시픽,038530,2015/12,-13.9,-18.45,-9.24,19.01,26.08,0,0,0
