회사명,거래소코드,회계년도,[제조]비유동비율(IFRS),[제조]유동비율(IFRS),[제조]당좌비율(IFRS),[제조]현금비율(IFRS),[제조]부채비율(IFRS),[제조]유동부채비율(IFRS),[제조]차입금비율(IFRS),[제조]이자보상배율(이자비용)(IFRS),[제조]유보액대비율(IFRS),[제조]유보액 대 납입자본배율(IFRS),[제조]투자집중도(IFRS)
(주)태양,053620,2013/12,68.84,220.83,187.74,45.17,32.77,28.95,0.9,157.85,73.91,26.72,70.83
(주)태양,053620,2014/12,62.97,271.53,226.99,92.71,27.47,23.75,0.84,382.29,77.06,28.18,71.73
(주)태양,053620,2015/12,96.79,164.66,138.26,65.85,45.81,29.77,9.76,7.22,67.39,28.76,119.14
(주)태양,053620,2016/12,83.32,242.13,213.66,132.26,32.77,20.42,8.83,64.13,74.12,31.54,119.41
(주)태양,053620,2017/12,73.61,330.18,293.39,188.53,24.61,15.45,7.17,57.48,79.02,32.88,105.99
(주)태양,053620,2018/12,77.22,298.96,256.26,115.58,20.93,14.62,4.68,-12.93,81.44,33.09,122.78
(주)태양,053620,2019/12,71.35,338.95,305.32,131.29,18.35,13.87,2.33,46.35,83.27,34.61,120.68
(주)태양,053620,2020/12,71.34,283.53,257.06,133.68,23.11,18.26,1.87,69.85,80.09,35.94,112.89
(주)태양,053620,2021/12,68.98,264.27,218.9,119.69,25.65,21.45,1.26,74.09,78.5,36.87,111.6
(주)태영건설,009410,2011/12,173.22,114.91,96.08,11.17,180.65,93.49,71.85,1.88,36.23,19.34,74.51
(주)태영건설,009410,2012/12,166.9,104.03,88.66,12.67,174.06,103,56.36,1.84,37.08,20.07,77.72
(주)태영건설,009410,2013/12,167.73,113.07,98.51,14.45,165.92,86.83,60.89,1.1,38.23,19.66,79.1
(주)태영건설,009410,2014/12,127.78,145.66,128.2,26.44,115.92,60.51,51.17,-1.45,45.79,17.83,67.61
(주)태영건설,009410,2015/12,128.91,120.56,112.54,33.48,108.44,65.97,50.01,0.12,47.45,18.28,70.21
(주)태영건설,009410,2016/12,132.34,97.56,90.42,14.99,113.7,83.39,43.01,3.78,46.28,18.26,73.33
(주)태영건설,009410,2017/12,140.89,110.11,95.99,6.73,128.35,79.43,55.39,13.63,43.36,20.57,61.61
(주)태영건설,009410,2018/12,134.82,113.41,91.2,6.82,151.16,102.59,51.21,15.28,39.46,22.81,65.03
(주)태영건설,009410,2019/12,128.65,128.42,86.41,7.87,179.14,117.18,63.14,13.5,35.54,25.66,80.84
(주)태영건설,009410,2020/12,137.39,120.66,63.09,16.02,278.92,200.17,86.81,9.54,25.65,34.23,89.24
(주)태영건설,009410,2021/12,125.34,128.9,89.6,28.93,230.03,158.8,83.51,9.73,29.57,40.39,74.17
(주)태웅,044490,2011/12,58.68,283.87,178.42,19.7,65.84,37.75,36.91,12.14,59.2,53.89,148.68
(주)태웅,044490,2012/12,55.57,249.33,172.24,7.87,43.19,35.15,22.43,1.56,68.58,54.86,149.04
(주)태웅,044490,2013/12,51.02,339.66,233.41,9.42,29.27,23.04,6.24,0.72,75.96,54.31,148.63
(주)태웅,044490,2014/12,67.03,280.18,212.09,28.43,32.89,23.51,8.55,10.47,74.06,62.3,162.6
(주)태웅,044490,2015/12,91.21,250.83,193.81,34.79,47.8,22.56,18.98,16.08,66.6,63.08,166.92
(주)태웅,044490,2016/12,101.8,358.22,265.25,68.72,54.02,14.58,33.05,10.08,63.9,62.4,288.83
(주)태웅,044490,2017/12,99.85,505.02,371.65,51.82,59.3,11.77,41.57,-0.66,61.77,61.85,313.34
(주)태웅,044490,2018/12,104.09,236.49,137.31,6.44,70.93,28.26,47.75,-4.38,57.53,59.27,333.38
(주)태웅,044490,2019/12,105.11,296.3,182.79,14.36,74.81,23.52,50.18,-3.67,56.2,55.8,253.76
(주)태웅,044490,2020/12,97.3,317.15,196.23,41.64,71.46,23.39,50.27,0.22,57.07,45.68,224.85
(주)태웅,044490,2021/12,91.98,297.29,196.55,19.4,62.33,23.66,39.96,1.16,60.31,46.54,231.34
(주)태웅로직스,124560,2019/12,38.3,155.94,155.94,25.98,114.79,113.18,24.4,15.26,45.36,21.71,28.18
(주)태웅로직스,124560,2020/12,57.89,151.95,151.95,12.1,92.03,88.28,15.12,18.54,51.71,28.92,28.61
(주)태웅로직스,124560,2021/12,43.29,140.23,140.23,10.46,145.68,144.33,40.52,92.84,40.56,59.03,29.5
(주)태창파로스,039850,2011/12,67.58,319.82,288.21,42.05,64.64,30.35,36.14,1.48,29.11,0.34,99.41
(주)태창파로스,039850,2012/12,102.62,100.28,84.62,5.76,46.05,43.31,14.22,-21.87,18.39,0.15,53.28
(주)태창파로스,039850,2013/12,101.01,113.47,88.13,1,41.55,35.73,6.31,-81.22,67.1,0.65,58.41
(주)태창파로스,039850,2014/12,140.19,58.72,47.36,0.95,93.29,90.42,43,-13.82,36.32,0.23,60.9
(주)태평양제약,016570,2011/12,48.8,232.7,175.58,81.61,61.15,48.28,0,999999999,53.71,6.43,93.36
(주)터보테크,032420,2011/12,226.16,37.4,33.32,2.03,191.65,175.12,164.45,0.54,-26.68,-0.4,271.68
(주)터보테크,032420,2012/12,158.04,30.43,29.86,0.01,80.84,74.94,63.78,-2.93,-25.2,-0.3,100.28
(주)터보테크,032420,2013/12,217.36,46.8,46.8,0.01,141.79,52.21,115.96,-1.73,-92.44,-0.66,199
(주)테라리소스,053320,2011/12,98.22,105.71,105.71,34.88,35.23,35.01,23.66,0.22,34.2,0.84,431.86
(주)테라리소스,053320,2012/12,103.72,87.42,87.42,1.77,27.69,27.43,24.45,-2.79,30.91,0.65,121.14
(주)테라젠이텍스,066700,2011/12,82.42,167.95,132.31,11.76,59.65,45.98,27.7,-4.98,51.71,3.49,109.17
(주)테라젠이텍스,066700,2012/12,64.61,232.94,201.64,75.44,45.88,34.89,23.11,-7.69,57.66,4.07,180.12
(주)테라젠이텍스,066700,2013/12,65.32,284.88,244.18,36.91,31.67,23.29,16.34,3.64,63.48,4.44,145.91
(주)테라젠이텍스,066700,2014/12,64.05,290.84,250.03,14.03,30.32,22.78,14.03,2.56,64.46,4.58,157.84
(주)테라젠이텍스,066700,2015/12,68.32,199.29,166.83,15.12,53.12,42.55,15.11,8.63,53.78,4.07,144.2
(주)테라젠이텍스,066700,2016/12,90.28,159.43,128.24,5.45,61.73,44.82,39.92,1.24,51.41,4.31,155.94
(주)테라젠이텍스,066700,2017/12,78.22,249.86,205.16,6.24,39.16,24.39,23.81,-0.32,60.79,4.85,143.03
(주)테라젠이텍스,066700,2018/12,81.07,311.56,253.44,57.89,62.99,26.29,34.09,-5.77,50.68,4.2,169.62
(주)테라젠이텍스,066700,2019/12,100.17,144.1,112.01,17.69,50.11,34.65,22.54,0.38,59.67,7.6,167.66
(주)테라젠이텍스,066700,2020/12,118.21,151.85,112.55,24.16,30.5,8.1,5.51,-4.37,73.65,22.04,132.53
(주)테라젠이텍스,066700,2021/12,114.08,123.28,94.98,17.6,31.95,14.49,7.89,-9.95,70.82,12.69,97.24
(주)테라텍,151750,2013/12,,,,,,,,,,,
(주)테라텍,151750,2014/12,,,,,,,,,,,
(주)테스,095610,2011/12,70.06,187.93,119.42,39.44,42.51,38.55,13.79,21.26,64.32,10.99,97.97
(주)테스,095610,2012/12,81.65,130.97,99.68,50.25,74.29,70.74,19.91,4.73,53.56,11.11,121.47
(주)테스,095610,2013/12,63.85,406.06,273.95,111.89,42.53,19.38,20.81,7.57,66.01,12.6,118.98
(주)테스,095610,2014/12,49.21,285.04,228.95,52.91,30.95,28.68,11.13,16.17,71.78,15.66,89.68
(주)테스,095610,2015/12,45.98,328.98,239.11,43.02,27.19,24.69,12.38,17.4,74.44,17.8,107.27
(주)테스,095610,2016/12,38.95,362.21,293,79.33,24.7,23.67,3.43,148.79,74.95,14.23,94.89
(주)테스,095610,2017/12,37.38,337.39,230.93,13.06,27.73,26.78,4.94,601.85,78.54,19.3,79.49
(주)테스,095610,2018/12,33.99,624.97,375.55,97.17,13.8,12.77,0.27,594.51,91,22.24,74.99
(주)테스,095610,2019/12,30.88,589.89,427.52,187.73,15.32,14.31,4.76,265.02,89.76,22.52,123.58
(주)테스,095610,2020/12,40.16,488.96,288.21,103.78,16.23,15.56,1.93,243.93,90.98,25.25,89.27
(주)테스,095610,2021/12,44.36,517.28,375.75,155.61,14.24,13.51,0.09,891.76,94.39,32.11,65.71
(주)테이팩스,055490,2017/12,243.9,44.2,25.7,1.69,243.98,226.4,157.51,6.31,24.99,6.13,79.44
(주)테이팩스,055490,2018/12,191.28,73.55,41.07,1.46,185.16,127.64,116.52,6.87,31.07,7.77,79.89
(주)테이팩스,055490,2019/12,82.01,260.85,201.53,13.86,90.01,41.4,40.67,7.76,47.97,10.31,53.29
(주)테이팩스,055490,2020/12,59.84,171.04,142.41,24.31,72.77,66.03,28.13,28.52,54.09,14.26,77.68
(주)테이팩스,055490,2021/12,60.98,300.93,217.23,24.58,57.01,31.91,23.74,57.91,60.42,18.45,71.68
(주)테크엘,064520,2011/12,197.98,89.47,51.75,13.36,327.74,256.8,194.69,-6.99,7.43,0.47,48.86
(주)테크엘,064520,2012/12,208.17,112.56,62.45,14.87,366.97,229.91,271.92,2.37,1.86,0.1,41.83
(주)테크엘,064520,2013/12,198.82,80.24,41.35,10.98,355,319.28,248.08,1.55,4.29,0.24,41.07
(주)테크엘,064520,2014/12,144.78,96.73,54.6,5.64,233.47,195.06,151.91,1.69,11.22,0.6,47.2
(주)테크엘,064520,2015/12,81.72,151.63,94.96,27.88,112.1,85.99,70.87,2.04,23.09,0.96,50.8
(주)테크엘,064520,2016/12,69.55,141.95,74.78,15.86,89.87,84.77,64.9,1.35,26.28,1,48.09
(주)테크엘,064520,2017/12,99.79,102.11,57.01,5.36,123,120.67,99.05,-13.46,9.12,0.26,51.23
(주)테크엘,064520,2018/12,262.61,62.22,39.04,8.14,415.17,405.93,313.67,-11.17,-23.59,-0.55,78.02
(주)테크엘,064520,2019/12,89.85,125.26,112.93,107.7,101.49,89.13,80.41,-9.21,16.23,0.49,190.24
(주)테크엘,064520,2020/12,82.02,226.23,139.78,19.22,24.76,18.89,9.24,-27.87,-10.74,-0.12,163.42
(주)테크엘,064520,2021/12,70.25,209.38,156.58,47.71,40.81,33.7,27.31,0.96,5.24,0.08,145.89
(주)테크윙,089030,2011/12,76.98,165.55,122.49,36.13,123.71,88.63,62.74,14.33,38.45,5.49,107.15
(주)테크윙,089030,2012/12,92.58,141.02,97.77,20.66,107.24,81.3,69.76,7.41,45.35,6.53,125.28
(주)테크윙,089030,2013/12,124.97,131.24,71.16,6.75,118.67,71.39,87.21,6.16,44.01,7.48,158.47
(주)테크윙,089030,2014/12,123.59,102.13,55.71,4.58,118.5,92.94,79.48,5.62,44.11,8.53,132.32
(주)테크윙,089030,2015/12,118.52,136.01,82.11,20.64,112.36,69,86.46,16.14,42.93,10.32,117.71
(주)테크윙,089030,2016/12,132.88,149.7,102.21,8.42,121.39,59.12,101.64,11.04,41.65,11.85,164.16
(주)테크윙,089030,2017/12,109.71,116.9,83.52,7.66,121.4,95.55,84.78,10.01,42.86,15.63,155.48
(주)테크윙,089030,2018/12,112.15,126.01,74.32,9.53,99.05,68.97,78.04,6.87,50.29,17.66,160.49
(주)테크윙,089030,2019/12,110.96,150.24,95.6,13.61,96.58,56.99,71.48,5.11,50.56,17.97,184.48
(주)테크윙,089030,2020/12,102.77,141.26,91.1,20.16,89.89,61.68,70.35,11.66,52.38,20.61,168.76
(주)테크윙,089030,2021/12,120.83,160.83,98.42,13.58,118.79,60.91,93.02,14.07,45.47,22.14,171.83
(주)텔레칩스,054450,2011/12,49.46,611.04,511.94,25.85,23.08,12.05,0,999999999,83.78,17.27,122.06
(주)텔레칩스,054450,2012/12,53.14,531.04,395.76,32.36,26.31,13.78,0,-252.87,83.5,17.17,119.59
(주)텔레칩스,054450,2013/12,44.68,611.68,460.17,48.54,32.13,14.3,0,999999999,80.88,13.87,104.42
(주)텔레칩스,054450,2014/12,46.55,519.84,413.13,46.73,38.16,17.62,0,999999999,77.32,13.89,107.02
(주)텔레칩스,054450,2015/12,60.13,430.34,313.24,47.45,41.7,18.96,0,999999999,75.29,14.14,101.83
(주)텔레칩스,054450,2016/12,66.4,348.56,255.71,40.22,41.85,21.65,0,999999999,74.63,16.03,92.98
(주)텔레칩스,054450,2017/12,58.4,312.82,210.11,53.26,50.31,29.38,0,999999999,70.14,16.25,83.48
(주)텔레칩스,054450,2018/12,67.02,314.55,216.23,63.44,42.12,23.88,0,999999999,69.74,14.24,77.82
(주)텔레칩스,054450,2019/12,73.67,263.9,194.49,33.5,51.01,29.31,1.49,262.5,65.5,15.08,84.92
(주)텔레칩스,054450,2020/12,87.25,274.77,211.21,15.2,79.44,33.55,34.94,-38.8,55.01,13.51,117.11
(주)텔레칩스,054450,2021/12,111.44,211.28,146.63,45.12,94.57,39.35,43.79,6.24,50.79,15.55,104.9
(주)텔레필드,091440,2011/12,47.9,210.96,134.05,10.07,70.99,58.35,43.01,3.2,51,5.78,146.21
(주)텔레필드,091440,2012/12,52.9,221.92,129.06,30.69,61.13,48.77,34.14,4.31,55.28,6.04,137.62
(주)텔레필드,091440,2013/12,51.83,190.31,118.14,7.71,74.41,64.41,33.49,2.05,51.22,6.13,145.25
(주)텔레필드,091440,2014/12,39.2,272.12,136.6,8.15,73.98,49.53,45.73,9.83,51.87,6.76,101.84
(주)텔레필드,091440,2015/12,32.63,250.11,144.98,9.78,80.84,59.26,29.14,4.52,49.93,7.04,127.83
(주)텔레필드,091440,2016/12,38.88,251.01,136.8,35.86,95.08,62.23,50.24,-4.43,45.75,6.28,105.21
(주)텔레필드,091440,2017/12,38.96,212.2,105.62,25.41,91.06,71.68,49.79,0.88,46.79,6.39,139.72
(주)텔레필드,091440,2018/12,40.49,377.65,188.87,64.58,95.33,41,54.45,-12.29,42.85,4.18,161.22
(주)텔레필드,091440,2019/12,43.31,162.03,80.74,14.57,98.31,95.66,57.34,2.23,42.84,4.6,140.37
(주)텔레필드,091440,2020/12,45.73,180.72,117.97,86.36,177.73,128.37,87.24,-4.6,29.1,3.44,154.18
(주)텔레필드,091440,2021/12,65.92,159.85,100.19,36.74,188.71,139.37,98.72,-5.03,25.09,2.14,118.56
(주)텔콘알에프제약,200230,2014/12,11.13,1077.44,985.42,518.46,10.03,9.18,2.54,149.64,85.71,16.59,80.96
(주)텔콘알에프제약,200230,2015/12,19.18,1216.27,1173.65,542.38,8.11,7.31,0,27.03,87.39,17.12,164.12
(주)텔콘알에프제약,200230,2016/12,106.76,134.38,120.63,9.4,44.47,28.06,26.88,-7.39,62.75,9.7,115.34
(주)텔콘알에프제약,200230,2017/12,138.42,35.72,32.55,8.02,59.74,59.68,54.67,-2.6,58.45,14.09,206.31
(주)텔콘알에프제약,200230,2018/12,103.28,80.59,68.35,22.1,16.85,16.85,12.55,-1.18,80.96,17.52,158.13
(주)텔콘알에프제약,200230,2019/12,90.23,195.91,174.21,92.19,12.19,11.21,9.38,1.64,82.9,13.29,134.25
(주)텔콘알에프제약,200230,2020/12,139.02,40.46,36.5,24.97,64.47,62.9,60.98,-0.3,57.1,15.45,249.57
(주)텔콘알에프제약,200230,2021/12,121.93,57.11,51.78,35.93,50.01,49.17,45.75,-0.29,61.17,11.14,202.82
(주)토니모리,214420,2015/12,44.08,281.39,232.26,107.53,32.74,31.51,3.4,74.82,73.83,49.03,58.17
(주)토니모리,214420,2016/12,58.42,210.98,160.41,75.4,39.68,38.52,2.97,194.34,69.74,37.13,56.2
(주)토니모리,214420,2017/12,79.72,229.71,183.31,60.09,54.19,32.42,22.99,17.36,64.43,38.14,56.88
(주)토니모리,214420,2018/12,89.52,191.36,142.88,39.93,56.31,34.9,28.63,5.19,63.57,39.45,68.4
(주)토니모리,214420,2019/12,104.74,157.56,127.99,72.49,83.63,50.07,59.73,2,54.11,39.32,91.81
(주)토니모리,214420,2020/12,140.24,79.5,55.38,12.64,94.06,67.69,70.07,-6.82,51.07,28.03,88.16
(주)토니모리,214420,2021/12,110.56,138.71,104.95,29.23,49.72,28.23,38.91,-2.95,65.6,24.77,80.1
(주)토박스코리아,215480,2015/12,,,,,,,,,,,
(주)토박스코리아,215480,2016/12,,,,,,,,,,,
(주)토박스코리아,215480,2017/12,12.93,2029.62,1466.57,484.79,52.31,6.87,45.36,29.47,54.08,4.67,97.95
(주)토박스코리아,215480,2018/12,12.32,244.06,159.15,8,60.86,60.86,53.99,-3.31,48.68,3.61,110.48
(주)토박스코리아,215480,2019/12,10.23,1004.74,613.9,44.17,41.44,13.06,34.41,1.73,58.66,4.61,111.56
(주)토박스코리아,215480,2020/12,11.82,491.72,360.83,20.7,23.85,22.78,16.75,-3.53,68.29,4.18,105.18
(주)토박스코리아,215480,2021/12,33.06,868.12,690.77,149.01,9.72,8.83,2.28,51.92,79.16,5.13,86.71
(주)토비스,051360,2011/12,76.36,125.44,70.2,3.61,131.29,123.51,67.38,9.28,43.24,8.06,33.01
(주)토비스,051360,2012/12,65.47,130.02,80.56,9.13,120.33,119.11,51.9,7.38,45.33,9.07,33.65
(주)토비스,051360,2013/12,62.66,143.73,84.77,11.42,91.17,89.41,36.72,14.62,50.28,9.67,31.52
(주)토비스,051360,2014/12,48.73,150.85,97.87,4.07,104.53,103.28,19.3,79.96,47.31,13.71,37.9
(주)토비스,051360,2015/12,52.97,215.78,147.32,21.98,43.39,41.91,14.52,71.96,66.26,16.76,40.16
(주)토비스,051360,2016/12,56.32,161.36,105.61,4.3,73.57,72.66,23.27,53.09,56.15,18.48,54.57
(주)토비스,051360,2017/12,47.65,223.56,155.38,9.38,42.6,42.47,3.17,45.16,68.08,19.77,40.84
(주)토비스,051360,2018/12,47.99,211.37,136.38,5.81,49.41,47.98,12.08,44.93,66.96,21.62,56.11
(주)토비스,051360,2019/12,42.73,278.25,180.69,22.19,33.3,32.55,8,48.45,76.21,23.83,55.71
(주)토비스,051360,2020/12,50.72,243.79,152.39,40.9,38.78,36.12,13.81,3.03,72.88,23.02,78.97
(주)토비스,051360,2021/12,71.07,155.66,85.74,19.52,65.54,60.69,38.31,20.87,60.77,23.59,101.71
(주)토탈소프트뱅크,045340,2011/12,54.42,336.61,335.7,120.92,57.5,30.62,9.25,-47.57,41.29,1.64,143.19
(주)토탈소프트뱅크,045340,2012/12,71.1,290.5,289.44,99.37,71.25,34.48,11.37,-40.02,29.98,1.06,124.1
(주)토탈소프트뱅크,045340,2013/12,105.46,189.65,186.96,121.81,108.99,54.59,20.02,-57.39,6.85,0.17,116.61
(주)토탈소프트뱅크,045340,2014/12,151.2,308.72,307.95,209.59,141.28,29.18,53.62,8.1,9.75,0.31,157.32
(주)토탈소프트뱅크,045340,2015/12,178.88,198.39,198.17,98.55,165.46,43.64,61.22,-15.07,4.78,0.15,169.8
(주)토탈소프트뱅크,045340,2016/12,176.04,255.15,254.24,101.93,167.63,35.89,80.14,8.47,10.45,0.39,166.4
(주)토탈소프트뱅크,045340,2017/12,163.35,239.62,238.75,115.75,160.3,40.46,74.13,3.33,11.98,0.45,163.54
(주)토탈소프트뱅크,045340,2018/12,119.7,229.49,228.04,108.75,129.53,47.86,45.19,15.39,22.56,1.07,172.87
(주)토탈소프트뱅크,045340,2019/12,91.17,286.92,284.21,165.26,90.19,34.51,29.38,25.5,32.55,1.63,173.06
(주)토탈소프트뱅크,045340,2020/12,79.55,271.14,270.34,130.5,79.5,36.86,18.59,56.68,37.98,2.14,187.11
(주)토탈소프트뱅크,045340,2021/12,65.84,279.64,279.1,169.34,64.85,35.41,10.48,123.55,44.66,2.79,178.53
(주)톱텍,108230,2011/12,55.42,206.3,184.08,56.19,46.08,43.95,9.89,76.16,63.06,10.78,56.32
(주)톱텍,108230,2012/12,66.6,176.45,150.04,49.62,63.03,54.64,20.63,28.84,56.91,11.79,98.45
(주)톱텍,108230,2013/12,70.68,191.31,156.99,88.38,102.25,68.78,49.51,8.44,47.55,13.45,82.11
(주)톱텍,108230,2014/12,72.53,154.94,126.55,70.42,77.16,67.53,36.41,6.82,55.36,14.76,106.03
(주)톱텍,108230,2015/12,51.65,265.24,247.91,29.65,34.35,31.18,9.13,11.89,73.04,18.28,80.73
(주)톱텍,108230,2016/12,43.25,146.51,111.8,48.14,140.17,134.4,19.55,69.63,37.77,9.78,117.9
(주)톱텍,108230,2017/12,26.66,338.02,313.56,227.6,34.46,31.89,4.06,106.89,71.42,17.32,37.65
(주)톱텍,108230,2018/12,29.87,756.76,711.98,546.52,12.47,10.91,3.12,35.5,92.41,18.77,120.58
(주)톱텍,108230,2019/12,35.17,389.18,315.3,180.74,23.21,22.62,4.53,1.97,84.36,18.72,225.49
(주)톱텍,108230,2020/12,46.44,795.81,589.26,402.96,8.01,7.74,0.55,129.87,95.76,19.74,111.81
(주)톱텍,108230,2021/12,51.8,315.69,224.88,126.63,22.92,22.53,3.48,-5673.73,84.83,16.01,204.12
(주)투비소프트,079970,2011/12,42.49,293.87,293.87,47.85,31.19,30.18,7.19,999999999,68.19,8.48,82.91
(주)투비소프트,079970,2012/12,38.49,384.13,384.13,57.77,23.51,22.13,0,1970.2,73.78,10.27,73.19
(주)투비소프트,079970,2013/12,57.55,395.47,395.47,66.27,43.21,21.66,19.54,15.76,59.29,5.62,82.89
(주)투비소프트,079970,2014/12,54.53,402.17,402.17,77.02,15.41,15.14,0,22.31,74.1,5.9,77.47
(주)투비소프트,079970,2015/12,56.29,405.46,405.46,79.16,14.64,14.39,0,4379.68,75.18,6.23,80.59
(주)투비소프트,079970,2016/12,107.05,91.86,91.86,20.77,84.72,84.55,71.49,3.2,49.88,5.61,116.4
(주)투비소프트,079970,2017/12,135.64,56.21,51.26,7.03,81.21,81.07,70.05,-6.76,49.05,4.91,105.85
(주)투비소프트,079970,2018/12,92.51,157.81,153.75,12.7,63.9,45.24,49.74,-3.02,50.78,3.75,144.12
(주)투비소프트,079970,2019/12,85.19,126.86,126.55,17.91,59.23,58.36,42.28,-3.35,49.99,3.03,137.77
(주)투비소프트,079970,2020/12,85.71,232.46,232.3,66.9,39.87,23.3,19.46,0.83,46.58,1.57,133.71
(주)투비소프트,079970,2021/12,76.61,129.73,129.58,2.37,127.81,116.56,107.32,-2.93,20.32,0.74,204.7
(주)툴젠,199800,2021/12,14.39,3802.57,3802.28,637.09,3.56,2.34,0.11,-708.69,92.09,20.56,5407.91
(주)트라이써클,034010,2011/12,195.52,18.57,14.48,1.78,105.33,52.86,78.26,-6.06,24.3,0.97,434.79
(주)트레이스,052290,2011/12,90.59,119.12,96.09,1.8,106.63,97.41,99.09,0.19,34.28,2.42,250.44
(주)트레이스,052290,2012/12,112.38,93.55,58.64,0.05,126.99,122.5,98.75,0.04,31.48,2.49,243.57
(주)트레이스,052290,2013/12,128.77,95.71,46.65,4.29,150.59,127.29,134.38,-0.55,26.51,1.97,118.82
(주)트레이스,052290,2014/12,128.5,96.07,64.8,5.52,153.89,130.52,111.86,-3.97,20.01,1.03,204.72
(주)트레이스,052290,2015/12,96.14,105.97,71.56,5.75,78.21,77.45,53.17,-5.17,26.91,0.92,188.24
(주)트레이스,052290,2016/12,65.66,170.67,151.94,3.67,50.57,49.75,45.51,0.5,31.93,0.92,391.72
(주)트레이스,052290,2017/12,74.01,150.94,140.7,27.28,53.03,52.35,47.56,-9.53,0.71,0.01,1122.12
(주)트루윈,105550,2014/12,86.5,208.36,185.23,4.78,68.01,39.12,60.07,3.44,52.52,7.5,114.06
(주)트루윈,105550,2015/12,169.48,107.01,85.65,3.58,129.76,56.33,120.86,-2.6,38.02,6.91,210.27
(주)트루윈,105550,2016/12,246.16,71.72,61.52,1.92,269.09,171.41,217.32,-11.88,23.42,3.76,189.86
(주)트루윈,105550,2017/12,218.79,70.13,60.52,8.05,248.22,184.57,221.33,-1.56,23.69,2.85,138.24
(주)트루윈,105550,2018/12,179.13,55.62,42.02,4.29,137.92,105.72,120.62,1.46,35.28,3.35,150.1
(주)트루윈,105550,2019/12,147.99,77.89,60.13,13.9,126.46,100.73,108.24,-2.19,37.04,3.48,170.8
(주)트루윈,105550,2020/12,131.43,122.5,109.7,9.63,162.49,106.98,145.37,0.38,33.14,4.72,202.22
(주)트루윈,105550,2021/12,91.43,116.51,101.8,18.85,94.2,88.21,71.28,1.21,44.68,5.25,253.63
(주)트윔,290090,2021/12,24.82,1035.8,959.22,497.08,8.39,8.07,0.13,101.32,87.78,19.61,349.13
(주)특수건설,026150,2011/12,77.12,154.33,130.32,12.75,63.7,56.1,14.04,-3.35,57.19,14.68,89.58
(주)특수건설,026150,2012/12,78.6,138.14,122.09,2.29,85.77,77.58,30.8,0.38,50.41,14.76,82.23
(주)특수건설,026150,2013/12,80.84,126.4,110.72,4.26,105.79,98.86,49.91,-2.3,45.27,13.62,73.35
(주)특수건설,026150,2014/12,72.51,149.31,138.47,9.77,87.38,76.93,37.85,-6.59,49.77,13.83,73.76
(주)특수건설,026150,2015/12,65.77,160.83,150.81,19.8,75.04,67.94,19.69,1.22,53.14,13.33,69.68
(주)특수건설,026150,2016/12,55.84,188.95,178.2,20.34,84.32,68,28.2,0.68,50.02,11.81,56.22
(주)특수건설,026150,2017/12,45.43,232.44,210.58,22.46,77.85,56.97,23.22,3.15,51.92,12.04,64.57
(주)특수건설,026150,2018/12,47.58,236.87,213.76,26.75,68.3,50.96,17.62,0.98,54.2,10.38,72.21
(주)특수건설,026150,2019/12,79.43,172.58,155.41,41.8,96.07,67.59,36.29,0.83,46.52,10.38,72.07
(주)특수건설,026150,2020/12,77.81,175.56,164.31,12.13,90.71,64.31,29.53,3.56,47.92,10.63,72.07
(주)특수건설,026150,2021/12,78.23,182.83,167.14,38.98,72.96,51.81,20.18,2.36,52.93,10.82,64.49
(주)티라유텍,322180,2019/12,44.11,512.35,502.05,121.39,22.33,15.27,9.02,8.71,83.1,53.2,108.55
(주)티라유텍,322180,2020/12,71.24,286.61,281.13,65.98,27.23,19.53,6.39,-33.6,84.13,51.29,68.99
(주)티라유텍,322180,2021/12,107.61,134.77,133.07,13.63,58.93,38.07,18.88,-176.8,68.86,38.83,47.89
(주)티로보틱스,117730,2018/12,57.59,190.16,141.07,64.44,90.79,70.05,45.43,7.64,48.08,11.09,86.5
(주)티로보틱스,117730,2019/12,119.62,177.08,126.81,65.07,151.67,74.57,98.98,-2.4,36.11,9.95,124.33
(주)티로보틱스,117730,2020/12,122.04,109.46,89.11,46.79,127.39,96.25,95.23,2.59,36.11,4.59,85.09
(주)티로보틱스,117730,2021/12,178.52,78.58,48.94,16.5,205.44,161.5,106.86,-6.47,23.57,2.57,146.38
(주)티브로드도봉강북방송,035210,2011/12,172.72,77.43,77.43,11.57,83.4,13.79,69.93,4.67,49.55,4.93,67.51
(주)티브로드한빛방송,043890,2011/12,83.69,291.38,291.38,22.48,8.69,8.58,0.08,999999999,68.79,2.37,80.6
(주)티비씨,033830,2011/12,36.91,840.94,840.29,5.78,8.69,8.54,1.42,41.22,43.92,0.88,250.54
(주)티비씨,033830,2012/12,31.9,1371.91,1370.83,19.77,5.65,5.38,0,142.69,46.74,0.93,255.78
(주)티비씨,033830,2013/12,32.58,1695.06,1695.06,2.15,4.6,4.25,0.05,201.13,48.72,1,282.46
(주)티비씨,033830,2014/12,29.83,1606.8,1606.8,5.52,5.05,4.68,0,520.86,49.32,1.03,273.65
(주)티비씨,033830,2015/12,34.84,1146.65,1146.65,10.01,7.36,6.32,0,192.66,49.82,1.08,226.57
(주)티비씨,033830,2016/12,33.19,983.33,983.33,29.92,8.36,7.64,0,813.98,50.59,1.12,256.53
(주)티비씨,033830,2017/12,29.94,904.21,904.21,8.15,9.55,8.8,0,2391.55,51.02,1.17,251.36
