회사명,거래소코드,회계년도,[제조]매출액순이익률(IFRS),[제조]총자본순이익률(IFRS),[제조]자기자본순이익률(IFRS),[제조]매출원가 대 매출액비율(IFRS),[제조]광고선전비 대 매출액비율(IFRS),[제조]유보율(IFRS)
(주)ES큐브,050120,2015/12,9.79,7.85,8.39,83.32,0,145.92
(주)ES큐브,050120,2016/12,50.17,23.05,30.46,81.76,0,235.56
(주)ES큐브,050120,2017/12,3.29,1.16,1.73,82.19,0.35,71.54
(주)ES큐브,050120,2018/12,-12.25,-3.6,-5.56,82.07,2.43,64.61
(주)ES큐브,050120,2019/12,-44.65,-10.42,-21.14,79.6,0,30.75
(주)ES큐브,050120,2020/12,-96,-26.67,-45.82,79.88,0,7.02
(주)ES큐브,050120,2021/12,13.85,7.2,8.24,81.77,0,-4.03
(주)HJ중공업,097230,2011/12,-5.02,-1.91,-6,93.13,0.26,677.12
(주)HJ중공업,097230,2012/12,0.66,0.22,0.7,92.56,0.17,672.42
(주)HJ중공업,097230,2013/12,-11.04,-3.61,-11.6,98.63,0.16,421.31
(주)HJ중공업,097230,2014/12,-12.55,-3.99,-12.66,99.96,0.18,244.77
(주)HJ중공업,097230,2015/12,-12.74,-5.15,-16.57,96.62,0.13,169.62
(주)HJ중공업,097230,2016/12,-17.34,-7.81,-29.31,92.11,0.07,70.78
(주)HJ중공업,097230,2017/12,-17.21,-8.27,-40.75,88.93,0.03,6.52
(주)HJ중공업,097230,2019/12,-4.58,-3.03,0,89.41,0.03,-40.27
(주)HJ중공업,097230,2020/12,4.52,3.29,26.97,92.34,0.03,-22.7
(주)HJ중공업,097230,2021/12,-8.21,-6.13,-37.2,101.22,0.05,4.14
(주)MH에탄올,023150,2011/12,7.76,2.54,6.14,75.72,0.01,1174.22
(주)MH에탄올,023150,2012/12,5.65,1.87,4.48,77.99,0.01,1232.11
(주)MH에탄올,023150,2013/12,-25.11,-8.89,-21.97,71.81,0.02,969.09
(주)MH에탄올,023150,2014/12,9.43,4.45,9.27,75.76,0.14,1042.28
(주)MH에탄올,023150,2015/12,15.37,9.45,14.07,72.29,0.01,1171.85
(주)MH에탄올,023150,2016/12,16.64,10.79,13.47,69.46,0,1307.46
(주)MH에탄올,023150,2017/12,12.23,6.58,9.23,71.63,0,1384.36
(주)MH에탄올,023150,2018/12,13.96,6.04,9.84,73.13,0,1490.09
(주)MH에탄올,023150,2019/12,-10.65,-4.75,-7.82,75.36,0,1321.96
(주)MH에탄올,023150,2020/12,2.26,1.16,1.98,75.88,0,1281.31
(주)MH에탄올,023150,2021/12,10.76,5.03,8.54,82.23,0,1291.06
(주)SH에너지화학,002360,2011/12,1.83,3.21,5.02,92.95,0.01,17.07
(주)SH에너지화학,002360,2012/12,0.56,1.05,1.67,93.02,0.02,17.77
(주)SH에너지화학,002360,2013/12,2.11,4.56,7.19,92.87,0.01,26.55
(주)SH에너지화학,002360,2014/12,6.86,14.21,20.33,86.72,0.01,50.98
(주)SH에너지화학,002360,2015/12,5.91,11.33,14.52,83.73,0,64.15
(주)SH에너지화학,002360,2016/12,8.2,14.83,18.13,83.84,0,86.29
(주)SH에너지화학,002360,2017/12,4.82,7.23,8.53,87.57,0,91.02
(주)SH에너지화학,002360,2018/12,1.53,2.27,2.64,93.53,0,88.19
(주)SH에너지화학,002360,2019/12,-2.28,-2.6,-3.13,95.44,0,76.78
(주)SH에너지화학,002360,2020/12,-7.9,-6.07,-7.71,98.95,0,64.28
(주)SH에너지화학,002360,2021/12,0.54,0.64,0.83,92.96,0,66.92
(주)SIMPAC,009160,2011/12,9.91,7.61,14.52,79.35,0.05,985.06
(주)SIMPAC,009160,2012/12,10.06,7.45,13.5,81.35,0.22,1136.32
(주)SIMPAC,009160,2013/12,9.39,5.84,10.22,80.12,0.05,1274.34
(주)SIMPAC,009160,2014/12,4.49,3.01,5.09,82.79,0.08,1315.62
(주)SIMPAC,009160,2015/12,9.12,5.57,9.17,80.38,0.12,1426.56
(주)SIMPAC,009160,2016/12,7.62,4.47,7.32,81.53,0.08,1506.98
(주)SIMPAC,009160,2017/12,3.51,2.01,3.15,82.94,0.11,1526.53
(주)SIMPAC,009160,2018/12,23.2,12.84,19.65,90.59,0.05,1204.59
(주)SIMPAC,009160,2019/12,2.94,1.86,2.77,91.11,0.03,1229.34
(주)SIMPAC,009160,2020/12,9.67,4.16,6.16,89.81,0.03,1298.64
(주)SIMPAC,009160,2021/12,13.31,8.99,14.12,75.72,0.02,1487.74
(주)SNT에너지,100840,2011/12,-2.13,-1.57,-2.53,92.78,0.01,4775.29
(주)SNT에너지,100840,2012/12,3.94,3.19,5.29,83.15,0,5074.77
(주)SNT에너지,100840,2013/12,8.06,5.36,8.49,80.6,0,5494.23
(주)SNT에너지,100840,2014/12,4.64,3.66,5.55,83.88,0,5763.77
(주)SNT에너지,100840,2015/12,10.39,8.71,12.31,77.78,0.01,6432.47
(주)SNT에너지,100840,2016/12,0.65,0.5,0.72,80.67,0.01,6387.29
(주)SNT에너지,100840,2017/12,2.49,1.41,1.98,79.34,0.02,6500.71
(주)SNT에너지,100840,2018/12,1.31,0.63,0.78,85.12,0.02,6366.74
(주)SNT에너지,100840,2019/12,7.19,4.76,6.12,83.96,0.02,6566.81
(주)SNT에너지,100840,2020/12,4.09,2.84,3.9,83.03,0.02,6592.12
(주)SNT에너지,100840,2021/12,7.82,3.96,5.37,82.83,0.04,6819.22
(주)SNT홀딩스,036530,2011/12,255.39,1.47,1.47,0,0.08,4996.84
(주)SNT홀딩스,036530,2012/12,103.36,2.32,2.32,0,0.06,5037.75
(주)SNT홀딩스,036530,2013/12,90.84,2.04,2.04,0,0.27,5079.67
(주)SNT홀딩스,036530,2014/12,89.48,1.73,1.73,0,0.42,5113.29
(주)SNT홀딩스,036530,2015/12,327.62,6.69,6.77,0,0.13,5258.33
(주)SNT홀딩스,036530,2016/12,70.51,1.61,1.63,0,0.02,5165.66
(주)SNT홀딩스,036530,2017/12,56.25,0.98,0.98,0,0.07,5146.6
(주)SNT홀딩스,036530,2018/12,85.27,1.47,1.47,0,0.65,5044.01
(주)SNT홀딩스,036530,2019/12,83.92,2.2,2.2,0,0.02,5077.97
(주)SNT홀딩스,036530,2020/12,90.68,5.46,5.46,0,0.01,5218.56
(주)SNT홀딩스,036530,2021/12,87.53,3.89,3.9,0,0,5294.22
(주)STX,011810,2011/12,2.03,2.76,8.07,95.58,0.42,687.46
(주)STX,011810,2012/12,-0.58,-0.73,-2.09,97.11,0.21,659.03
(주)STX,011810,2014/12,25.9,31.01,0,95.51,0.01,-26.57
(주)STX,011810,2015/12,-3.92,-5.02,-84.03,99.27,0.01,-3.26
(주)STX,011810,2016/12,-31.12,-54.14,0,101.95,0.01,0
(주)STX,011810,2017/12,21.07,58.56,0,96.64,0,-6.01
(주)STX,011810,2018/12,0.38,1.04,9.4,99.24,0,26.65
(주)STX,011810,2019/12,-3,-8.17,-65.84,99,0,3.14
(주)STX,011810,2020/12,-2.1,-4.02,-43.36,98.24,0,-47.07
(주)STX,011810,2021/12,-2.49,-4.29,-37.55,95.94,0,-15.69
(주)TCC스틸,002710,2011/12,1.49,1.76,3.34,91.71,0.02,1219.71
(주)TCC스틸,002710,2012/12,0.95,0.99,2.03,90.64,0.04,1165.86
(주)TCC스틸,002710,2013/12,0.09,0.09,0.19,91.86,0.02,1097.38
(주)TCC스틸,002710,2014/12,0.25,0.23,0.49,90.95,0.04,1034.39
(주)TCC스틸,002710,2015/12,-40.02,-35.38,-97.74,89.04,0,267
(주)TCC스틸,002710,2016/12,4.88,5.32,18.29,88.75,0,338.92
(주)TCC스틸,002710,2017/12,-0.7,-0.93,-2.56,91.22,0,325.5
(주)TCC스틸,002710,2018/12,2.15,2.93,8.05,91.32,0,358.42
(주)TCC스틸,002710,2019/12,0.59,0.74,2.04,92.04,0,354.62
(주)TCC스틸,002710,2020/12,-0.98,-1.2,-3.24,94.77,0,332.56
(주)TCC스틸,002710,2021/12,7.1,10.15,25.64,90.21,0.01,448.22
(주)가비아,079940,2011/12,9.65,9.1,14.24,61.44,2.41,300.94
(주)가비아,079940,2012/12,14.91,12.88,20.69,61.05,1.72,385.88
(주)가비아,079940,2013/12,9.35,7.29,11.48,60.63,1.18,440.73
(주)가비아,079940,2014/12,7.01,5.69,8.43,61.21,1.39,481.87
(주)가비아,079940,2015/12,8.85,7.55,10.64,59.46,1.07,545.74
(주)가비아,079940,2016/12,7.17,5.97,8.07,58.27,1.07,589.23
(주)가비아,079940,2017/12,4.76,3.95,5.36,58.36,2.75,622.47
(주)가비아,079940,2018/12,5.01,4.11,5.67,57.35,2.1,654.53
(주)가비아,079940,2019/12,7.99,6.11,8.96,59.28,1.96,717.34
(주)가비아,079940,2020/12,7.42,5.26,8.46,57.46,2.31,780.52
(주)가비아,079940,2021/12,6.14,4.29,7.23,55.25,2.39,855.57
(주)강스템바이오텍,217730,2015/12,-387.59,-23.03,-27.09,17.03,0,207.4
(주)강스템바이오텍,217730,2016/12,-984.85,-22.92,-37.55,6.84,48.87,223.31
(주)강스템바이오텍,217730,2017/12,-201.25,-23.61,-45.57,44.54,8.81,203.58
(주)강스템바이오텍,217730,2018/12,-1348.69,-24.39,-37.19,27.63,3.71,360.46
(주)강스템바이오텍,217730,2019/12,-8863.64,-30.34,-42.09,50.14,12.88,488.19
(주)강스템바이오텍,217730,2020/12,-6599.06,-23.38,-31.88,17.2,3.36,305.34
(주)강스템바이오텍,217730,2021/12,-544.02,-25.82,-33.62,53.31,15.18,269.1
(주)강원랜드,035250,2011/12,31.13,14.72,17.94,41.94,1.31,2185.69
(주)강원랜드,035250,2012/12,22.93,10.5,12.72,49.43,1.51,2290.6
(주)강원랜드,035250,2013/12,21.6,9.74,11.95,52.94,1.34,2422.22
(주)강원랜드,035250,2014/12,24.38,11.22,13.89,47.8,0.8,2601.91
(주)강원랜드,035250,2015/12,26.39,12.18,15.07,46.28,0.6,2864.85
(주)강원랜드,035250,2016/12,26.85,11.87,14.56,46.15,0.88,3103.51
(주)강원랜드,035250,2017/12,27.27,10.72,12.94,48.98,0.84,3335.4
(주)강원랜드,035250,2018/12,20.7,7.07,8.39,50.64,2.1,3415.48
(주)강원랜드,035250,2019/12,22.11,7.75,9.19,48.39,1.1,3538.86
(주)강원랜드,035250,2020/12,-58.38,-6.91,-8.01,114.01,1.85,3096.04
(주)강원랜드,035250,2021/12,-1.51,-0.32,-0.37,92.3,0.83,3100.28
(주)강원에너지,114190,2011/11,11.46,13.97,26.29,74.93,0.21,858.89
(주)강원에너지,114190,2011/12,15.87,1.54,3.62,73,0.02,893.65
(주)강원에너지,114190,2012/12,8.43,10.05,24.85,80.25,0.06,581.28
(주)강원에너지,114190,2013/12,7.74,4.85,9.57,76.82,0.1,624.37
(주)강원에너지,114190,2014/12,2.18,1.61,2.33,78.8,0.14,601.07
(주)강원에너지,114190,2015/12,1.81,1.2,1.68,82.95,0.07,619.61
(주)강원에너지,114190,2016/12,-1.71,-1,-1.4,83.71,0.07,604.73
(주)강원에너지,114190,2017/12,-7.57,-7.93,-12.47,98.96,0.03,517.81
(주)강원에너지,114190,2018/12,2.3,2.23,4.1,93.14,0.01,541.46
(주)강원에너지,114190,2019/12,-78.64,-46.24,-92.7,114.43,0.05,162.61
(주)강원에너지,114190,2020/12,-36.61,-31.87,-69.99,104.85,0,89.61
(주)강원에너지,114190,2021/12,13.12,15.55,25.31,88.77,0,118.91
(주)갤럭시아에스엠,011420,2011/12,9.4,7.84,12.73,82.45,0,150.12
(주)갤럭시아에스엠,011420,2012/12,0.6,0.55,0.9,90.23,0.02,156.37
(주)갤럭시아에스엠,011420,2013/12,-4.6,-3.82,-5.96,91.26,0.04,129.05
(주)갤럭시아에스엠,011420,2014/12,-2.82,-2.49,-4.06,94.72,0,138.53
(주)갤럭시아에스엠,011420,2015/12,4.79,4.78,6.96,90.09,0.01,267.81
(주)갤럭시아에스엠,011420,2016/12,-3.42,-2.54,-3.27,99.15,0,225.57
(주)갤럭시아에스엠,011420,2017/12,-15.98,-11.26,-13.83,100.41,0,193.97
(주)갤럭시아에스엠,011420,2018/12,-71.17,-38.1,-46.6,109.45,0,94.54
(주)갤럭시아에스엠,011420,2019/12,-4.79,-4.47,-5.66,93.75,0,58.25
(주)갤럭시아에스엠,011420,2020/12,5.04,3.46,4.63,85.29,0,50.42
(주)갤럭시아에스엠,011420,2021/12,12.74,10.6,13.69,72.75,0.04,139.93
(주)경농,002100,2011/12,2.61,1.68,2.14,65.5,3.4,1308.55
(주)경농,002100,2012/12,5.03,3.47,4.43,63.41,2.76,1359.38
(주)경농,002100,2013/12,9.88,6.57,8.75,61.44,3.26,1462.58
(주)경농,002100,2014/12,6.88,4.16,5.59,60.19,3.23,1519.53
(주)경농,002100,2015/12,4.72,2.62,3.79,61.33,3.34,1547.63
(주)경농,002100,2016/12,4.03,2.17,3.3,63.11,3.34,1581.43
(주)경농,002100,2017/12,8.06,4.31,6.42,63.54,3.31,1638.93
(주)경농,002100,2018/12,6.57,3.47,5.2,62.52,3.34,1676.8
(주)경농,002100,2019/12,4.67,2.43,3.74,62.53,3.41,1712.08
(주)경농,002100,2020/12,6.31,3.51,5.39,64.92,3.45,1770.84
(주)경농,002100,2021/12,14,8,11.9,65.24,0,1897.01
(주)경동나비엔,009450,2011/12,2.97,4.43,6.75,77.49,2.97,1036.35
(주)경동나비엔,009450,2012/12,2.7,3.85,6.24,78.56,2.26,1099.83
(주)경동나비엔,009450,2013/12,2.49,3.33,5.9,76.47,3.13,1172.78
(주)경동나비엔,009450,2014/12,2.38,2.87,5.51,76.74,3.29,1223.72
(주)경동나비엔,009450,2015/12,4.31,5.89,10.94,74.69,3.5,1358.92
(주)경동나비엔,009450,2016/12,5.66,8.52,14.48,72.92,3.03,1555.04
(주)경동나비엔,009450,2017/12,2.86,4.41,7.54,74.27,2.81,1647.94
(주)경동나비엔,009450,2018/12,3.69,5.49,9.87,75.46,2.75,1791.81
(주)경동나비엔,009450,2019/12,3.12,4.54,8.27,73.11,2.74,1903.3
(주)경동나비엔,009450,2020/12,2.53,3.79,7.05,71.07,3.22,1973.55
(주)경동나비엔,009450,2021/12,6.55,10.35,19.39,73.97,3.04,2381.98
(주)경동도시가스,267290,2017/12,,,,,,
(주)경동도시가스,267290,2018/12,2.12,4.38,10.66,92.2,0.04,2604.31
(주)경동도시가스,267290,2019/12,1.71,3.2,7.42,92.19,0,2192.49
(주)경동도시가스,267290,2020/12,1.73,2.6,5.43,90.62,0,2308.97
(주)경동도시가스,267290,2021/12,1.52,2.78,6.09,92.28,0,2436.47
(주)경동인베스트,012320,2011/12,2.77,5.9,12.86,93.98,0.02,2270.01
(주)경동인베스트,012320,2012/12,2.37,5.4,12.91,95.38,0.02,2591.47
(주)경동인베스트,012320,2013/12,1.74,3.97,9.38,95.83,0.02,2866.44
(주)경동인베스트,012320,2014/12,1.87,3.96,8.32,95.6,0.02,3118.79
(주)경동인베스트,012320,2015/12,-0.45,-0.6,-1.1,93.44,0.04,3048.34
(주)경동인베스트,012320,2016/12,1.6,1.79,2.96,90.54,0.05,3167.2
(주)경동인베스트,012320,2017/12,1183.54,1.19,1.67,0,0,2580.97
(주)경동인베스트,012320,2018/12,21.11,0.49,0.51,48.73,6.61,2586.33
(주)경동인베스트,012320,2019/12,-10.62,-0.29,-0.3,45.47,6.71,2573.56
(주)경동인베스트,012320,2020/12,17.01,0.42,0.43,33.72,8.19,2570.3
(주)경동인베스트,012320,2021/12,4.03,0.12,0.12,37.47,6.8,2564.4
(주)경방,000050,2011/12,-0.66,-0.14,-0.27,89.36,0.03,6415.4
(주)경방,000050,2012/12,-2.67,-0.54,-1.05,94.42,0.04,6349.93
(주)경방,000050,2013/12,5.7,1.18,2.23,84.38,0.03,5401.5
(주)경방,000050,2014/12,5.54,1.12,2.13,81.36,0.13,4653.34
(주)경방,000050,2015/12,7.02,1.7,3.27,68.07,0.18,4800.71
(주)경방,000050,2016/12,9.87,2.48,4.55,66.94,0.21,4935.48
(주)경방,000050,2017/12,8.91,2.11,3.67,65.38,0.04,5086.63
(주)경방,000050,2018/12,10.46,2.41,4.05,63.71,0.11,5260.3
(주)경방,000050,2019/12,8.77,1.76,3.02,59.78,0.13,5385.78
(주)경방,000050,2020/12,11.51,2.07,3.47,57.47,0.21,5550.08
(주)경방,000050,2021/12,8.58,1.92,3.05,60.68,0.31,5700.04
(주)경보제약,214390,2015/12,14.67,14.36,27.32,72.73,0.16,927.46
(주)경보제약,214390,2016/12,6.8,6.37,10.08,76.38,0.43,982.55
(주)경보제약,214390,2017/12,9.37,8.79,13.26,71.5,0.19,1083.84
(주)경보제약,214390,2018/12,6.51,6.15,9.03,75.53,0.26,1146.61
(주)경보제약,214390,2019/12,2.76,2.3,3.55,78.76,0.58,1147.87
(주)경보제약,214390,2020/12,4.37,3.83,6.16,75.63,0.68,1205.54
(주)경보제약,214390,2021/12,-4.39,-3.06,-4.97,79.28,0.74,1118.9
(주)경인양행,012610,2011/12,2.17,1.12,1.76,85.33,0,758.16
(주)경인양행,012610,2012/12,3.17,1.84,2.79,85.36,0,775.39
(주)경인양행,012610,2013/12,6.73,4.78,7.25,80.76,0,804.42
(주)경인양행,012610,2014/12,4.77,3.35,4.99,80.7,0,843.5
(주)경인양행,012610,2015/12,0.06,0.04,0.06,84.79,0,840.74
(주)경인양행,012610,2016/12,2.08,1.32,1.98,84.11,0,859.28
(주)경인양행,012610,2017/12,0.27,0.18,0.28,84.98,0,856.36
(주)경인양행,012610,2018/12,3.33,2.31,3.81,76.26,0,885.28
(주)경인양행,012610,2019/12,1.96,1.32,2.4,76.77,0,887.62
(주)경인양행,012610,2020/12,-4.77,-2.67,-5.21,80.86,0,829.85
(주)경인양행,012610,2021/12,6.52,4.25,9.01,74.62,0,903.6
(주)고려시멘트,198440,2014/12,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,
(주)고려시멘트,198440,2017/12,1.15,0.87,1.3,86.67,0,2547.6
(주)고려시멘트,198440,2018/12,5.42,3.82,5.67,85.23,0.01,2605.16
(주)고려시멘트,198440,2019/12,4.79,2.67,3.88,92.5,0,2665.65
(주)고려시멘트,198440,2020/12,6.33,3.67,4.92,88.39,0,2788.13
(주)고려시멘트,198440,2021/12,7.06,3.54,4.43,89.94,0,3563.26
(주)고바이오랩,348150,2020/12,-1226.51,-101.15,-104.03,42.46,0,597.67
(주)고바이오랩,348150,2021/12,-603.98,-22.42,-24.7,34.02,0,869.75
(주)고영테크놀러지,098460,2011/12,20.67,21.19,26.45,42.82,1.09,1531.89
(주)고영테크놀러지,098460,2012/12,14.72,15.61,19.21,45.89,0.96,1825.27
(주)고영테크놀러지,098460,2013/12,14.26,13.21,16.09,46.9,0.95,2134.39
(주)고영테크놀러지,098460,2014/12,16.8,17.31,20.86,45.29,0.75,1710.55
(주)고영테크놀러지,098460,2015/12,16.8,15.41,18.48,41.11,0.91,2023.81
(주)고영테크놀러지,098460,2016/12,18.31,15.83,19.28,39.92,0.76,2370.19
(주)고영테크놀러지,098460,2017/12,15.3,14.45,17.93,38.98,0.45,2721.47
(주)고영테크놀러지,098460,2018/12,19.3,17.47,21.53,40.08,0.75,3409.86
(주)고영테크놀러지,098460,2019/12,16.57,11.8,14.42,38.95,0.95,3782.62
(주)고영테크놀러지,098460,2020/12,4.74,2.44,2.95,40.31,0.84,3788.29
(주)고영테크놀러지,098460,2021/12,16.78,11.53,14.35,38.41,0.19,4265.73
(주)골드앤에스,035290,2011/12,2.32,2.43,4.97,69.48,3.36,-4.89
(주)골드앤에스,035290,2012/12,-13.75,-12.39,-24.69,71.72,4.08,-21.32
(주)골드앤에스,035290,2013/12,-44.74,-38.28,-90.82,72.07,3.71,-67.22
(주)골드앤에스,035290,2014/12,-27.38,-25.42,-85.29,73.76,3.44,49.88
(주)골드앤에스,035290,2015/12,-42.33,-35.81,-78.06,70.02,1.81,52.17
(주)골드앤에스,035290,2016/12,2.44,1.85,2.67,60.63,2.1,40.78
(주)골드앤에스,035290,2017/12,-62.98,-45.69,-59.27,64.21,2.1,18.2
(주)골드앤에스,035290,2018/12,-46.61,-13.61,-30,50.09,2.06,21.85
(주)골드앤에스,035290,2020/12,39.52,8.91,0,25.2,1.48,-20.01
(주)골드앤에스,035290,2021/12,5.71,3.3,5.18,65.56,0.14,-15.71
(주)골드퍼시픽,038530,2011/12,8.81,3.92,4.62,59.06,0.14,98.41
(주)골드퍼시픽,038530,2012/12,2.43,0.89,1.14,69.92,0.37,100.82
(주)골드퍼시픽,038530,2013/12,-130.32,-28.01,-42.23,117.48,0.68,35.87
(주)골드퍼시픽,038530,2014/12,-150.49,-23.4,-42.96,166.74,0.7,-1.73
(주)골드퍼시픽,038530,2015/12,-204.62,-42.15,-67.67,136.85,0.34,-22.83
(주)골드퍼시픽,038530,2016/12,-244.4,-121.36,-212.98,84.65,0.01,-92.35
(주)골드퍼시픽,038530,2017/12,-19.18,-5.12,-26.61,39.53,0.19,71.88
(주)골드퍼시픽,038530,2018/12,-78.49,-13.72,-34.42,25.24,7.11,138.58
(주)골드퍼시픽,038530,2019/12,-279.11,-57.34,-153.58,70.91,3.55,26.55
(주)골드퍼시픽,038530,2020/12,-10.45,-2.08,-3.71,61.91,2.29,81.56
(주)골드퍼시픽,038530,2021/12,-223.18,-24.52,-31.72,77.77,12.46,52.91
(주)골프존,215000,2015/12,,,,,,
(주)골프존,215000,2016/12,18.24,20.22,30.99,38.4,2,3598.91
(주)골프존,215000,2017/12,43.96,36.26,50.82,35.91,1.58,5686.69
(주)골프존,215000,2018/12,11.31,8.78,11.44,40.29,2.61,6197.95
(주)골프존,215000,2019/12,8.24,7.04,9.78,40.35,3.76,6455.87
(주)골프존,215000,2020/12,12.93,11.13,16.74,40.66,2.54,7190.4
(주)골프존,215000,2021/12,17.95,18.52,28.68,38.95,2.53,9106.43
(주)골프존뉴딘홀딩스,121440,2011/12,22.69,17.15,18.74,48.53,3.63,6001.47
(주)골프존뉴딘홀딩스,121440,2012/12,26.09,16.28,19,43.33,3.12,7025.57
(주)골프존뉴딘홀딩스,121440,2013/12,1.32,0.82,1.07,45.02,1.79,2220.58
(주)골프존뉴딘홀딩스,121440,2014/12,16.42,10.81,14.11,44.23,1.78,2486.05
(주)골프존뉴딘홀딩스,121440,2015/12,3028.36,151.84,173.6,26.25,3.78,2483.1
(주)골프존뉴딘홀딩스,121440,2016/12,-73.25,-3.53,-3.83,1.85,2.47,2273.64
(주)골프존뉴딘홀딩스,121440,2017/12,-92.68,-3.97,-4.41,2.9,4.24,2148.67
(주)골프존뉴딘홀딩스,121440,2018/12,-47.54,-1.39,-1.59,3.91,11.25,2169.24
(주)골프존뉴딘홀딩스,121440,2019/12,-112.81,-5.51,-6.49,94.29,2.32,2008.58
(주)골프존뉴딘홀딩스,121440,2020/12,47.31,4.95,5.92,7.15,0.52,2093.44
(주)골프존뉴딘홀딩스,121440,2021/12,167.25,21.19,25.15,2.66,0.53,2698.17
(주)광림,014200,2011/12,2.43,2.63,4.63,83.83,0.02,273.13
(주)광림,014200,2012/12,0.69,0.67,0.98,87.33,0.09,232.52
(주)광림,014200,2013/12,1.58,1.7,2.54,86.47,0.01,239.29
(주)광림,014200,2014/12,1.23,1.03,1.74,85.44,0.11,246.94
(주)광림,014200,2015/12,3.89,6.92,12.54,75.14,1.3,323.51
(주)광림,014200,2016/12,0.5,0.29,0.51,85.91,0.14,272.35
(주)광림,014200,2017/12,86.7,33.05,64.62,84.62,0.08,628.39
(주)광림,014200,2018/12,-77.22,-19.24,-39.19,82.8,0.02,387.68
(주)광림,014200,2019/12,-73.24,-31.77,-75.18,84.31,0.01,129.85
(주)광림,014200,2020/12,-9.65,-4.7,-9.63,82.86,0.02,459.95
(주)광림,014200,2021/12,-7.1,-3.83,-5.52,81.45,0.01,443.05
(주)광명전기,017040,2011/12,-0.13,-0.08,-0.14,89.7,0.17,162.99
(주)광명전기,017040,2012/12,-1.97,-1.53,-2.79,88.91,0.12,154.45
(주)광명전기,017040,2013/12,5.87,5.06,9.15,84.25,0.14,180.56
(주)광명전기,017040,2014/12,6.03,6.2,10.88,86.37,0.07,211.69
(주)광명전기,017040,2015/12,3.7,3.03,4.96,89.81,0.06,228.93
(주)광명전기,017040,2016/12,16.11,13.39,19.81,90.33,0.04,298.43
(주)광명전기,017040,2017/12,-1.28,-1.06,-1.57,90.81,0.03,294.26
(주)광명전기,017040,2018/12,3.28,2.52,3.67,90.07,0.04,306.07
(주)광명전기,017040,2019/12,5.18,4.89,7.1,89.25,0.04,334.66
(주)광명전기,017040,2020/12,4.35,3.37,5.07,90.24,0.02,356.4
(주)광명전기,017040,2021/12,3.74,3.06,4.55,93.45,0.03,375.3
(주)광무,029480,2011/12,-102.34,-50.54,-92.94,80.26,0,-18.58
(주)광무,029480,2012/12,-37.4,-20.7,-35.22,82.21,0,492
(주)광무,029480,2013/12,-328.09,-74.46,-138.53,101.15,0,39.16
(주)광무,029480,2014/12,-2.24,-3.03,-8.66,82.1,0,-7.8
(주)광무,029480,2015/12,-15.46,-11.13,-33.57,77.36,0,-29.68
(주)광무,029480,2016/12,0.36,0.38,1.21,82.3,0,-26.94
(주)광무,029480,2017/12,-15.56,-11.55,-31.04,81.26,0,-13.88
