,회사명,회계년도,거래소코드,target
122,(주)경농,2013,002100,1
123,(주)경농,2014,002100,1
124,(주)경농,2015,002100,1
125,(주)경농,2016,002100,1
126,(주)경농,2017,002100,1
127,(주)경농,2018,002100,1
128,(주)경농,2019,002100,1
129,(주)경농,2020,002100,1
130,(주)경농,2021,002100,1
131,(주)경동나비엔,2011,009450,1
132,(주)경동나비엔,2012,009450,1
133,(주)경동나비엔,2013,009450,1
134,(주)경동나비엔,2014,009450,1
135,(주)경동나비엔,2015,009450,1
136,(주)경동나비엔,2016,009450,1
137,(주)경동나비엔,2017,009450,1
138,(주)경동나비엔,2018,009450,1
139,(주)경동나비엔,2019,009450,1
140,(주)경동나비엔,2020,009450,1
141,(주)경동나비엔,2021,009450,1
142,(주)경동도시가스,2017,267290,1
143,(주)경동도시가스,2018,267290,1
144,(주)경동도시가스,2019,267290,1
145,(주)경동도시가스,2020,267290,1
146,(주)경동도시가스,2021,267290,1
147,(주)경동인베스트,2011,012320,1
148,(주)경동인베스트,2012,012320,1
149,(주)경동인베스트,2013,012320,1
150,(주)경동인베스트,2014,012320,1
151,(주)경동인베스트,2015,012320,1
152,(주)경동인베스트,2016,012320,1
153,(주)경동인베스트,2017,012320,1
154,(주)경동인베스트,2018,012320,1
155,(주)경동인베스트,2019,012320,1
156,(주)경동인베스트,2020,012320,1
157,(주)경동인베스트,2021,012320,1
158,(주)경방,2011,000050,0
159,(주)경방,2012,000050,0
160,(주)경방,2013,000050,0
161,(주)경방,2014,000050,0
162,(주)경방,2015,000050,1
163,(주)경방,2016,000050,1
164,(주)경방,2017,000050,1
165,(주)경방,2018,000050,1
166,(주)경방,2019,000050,1
167,(주)경방,2020,000050,1
168,(주)경방,2021,000050,1
169,(주)경보제약,2015,214390,1
170,(주)경보제약,2016,214390,1
171,(주)경보제약,2017,214390,1
172,(주)경보제약,2018,214390,1
173,(주)경보제약,2019,214390,1
174,(주)경보제약,2020,214390,1
175,(주)경보제약,2021,214390,1
176,(주)경인양행,2011,012610,1
177,(주)경인양행,2012,012610,1
178,(주)경인양행,2013,012610,1
179,(주)경인양행,2014,012610,1
180,(주)경인양행,2015,012610,1
181,(주)경인양행,2016,012610,1
182,(주)경인양행,2017,012610,1
183,(주)경인양행,2018,012610,1
184,(주)경인양행,2019,012610,1
185,(주)경인양행,2020,012610,1
186,(주)경인양행,2021,012610,1
187,(주)고려시멘트,2014,198440,0
188,(주)고려시멘트,2015,198440,0
189,(주)고려시멘트,2016,198440,0
190,(주)고려시멘트,2017,198440,0
191,(주)고려시멘트,2018,198440,0
192,(주)고려시멘트,2019,198440,1
193,(주)고려시멘트,2020,198440,1
194,(주)고려시멘트,2021,198440,1
195,(주)고영테크놀러지,2011,098460,1
196,(주)고영테크놀러지,2012,098460,1
197,(주)고영테크놀러지,2013,098460,1
198,(주)고영테크놀러지,2014,098460,1
199,(주)고영테크놀러지,2015,098460,1
200,(주)고영테크놀러지,2016,098460,1
201,(주)고영테크놀러지,2017,098460,1
202,(주)고영테크놀러지,2018,098460,1
203,(주)고영테크놀러지,2019,098460,1
204,(주)고영테크놀러지,2020,098460,1
205,(주)고영테크놀러지,2021,098460,1
206,(주)골프존,2015,215000,1
207,(주)골프존,2016,215000,1
208,(주)골프존,2017,215000,1
209,(주)골프존,2018,215000,1
210,(주)골프존,2019,215000,1
211,(주)골프존,2020,215000,1
212,(주)골프존,2021,215000,1
213,(주)골프존뉴딘홀딩스,2011,121440,1
214,(주)골프존뉴딘홀딩스,2012,121440,1
215,(주)골프존뉴딘홀딩스,2013,121440,1
216,(주)골프존뉴딘홀딩스,2014,121440,1
217,(주)골프존뉴딘홀딩스,2015,121440,1
218,(주)골프존뉴딘홀딩스,2016,121440,1
219,(주)골프존뉴딘홀딩스,2017,121440,1
220,(주)골프존뉴딘홀딩스,2018,121440,1
221,(주)골프존뉴딘홀딩스,2019,121440,1
222,(주)골프존뉴딘홀딩스,2020,121440,1
223,(주)골프존뉴딘홀딩스,2021,121440,1
224,(주)광림,2011,014200,1
225,(주)광림,2012,014200,0
226,(주)광림,2013,014200,0
227,(주)광림,2014,014200,0
228,(주)광림,2015,014200,0
229,(주)광림,2016,014200,0
230,(주)광림,2017,014200,0
231,(주)광림,2018,014200,0
232,(주)광림,2019,014200,0
233,(주)광림,2020,014200,0
234,(주)광림,2021,014200,0
235,(주)광명전기,2011,017040,0
236,(주)광명전기,2012,017040,0
237,(주)광명전기,2013,017040,0
238,(주)광명전기,2014,017040,0
239,(주)광명전기,2015,017040,0
240,(주)광명전기,2016,017040,0
241,(주)광명전기,2017,017040,0
242,(주)광명전기,2018,017040,0
243,(주)광명전기,2019,017040,0
244,(주)광명전기,2020,017040,0
245,(주)광명전기,2021,017040,1
246,(주)광주신세계,2011,037710,1
247,(주)광주신세계,2012,037710,1
248,(주)광주신세계,2013,037710,1
249,(주)광주신세계,2014,037710,1
250,(주)광주신세계,2015,037710,1
251,(주)광주신세계,2016,037710,1
252,(주)광주신세계,2017,037710,1
253,(주)광주신세계,2018,037710,1
254,(주)광주신세계,2019,037710,1
255,(주)광주신세계,2020,037710,1
256,(주)광주신세계,2021,037710,1
257,(주)구영테크,2011,053270,0
258,(주)구영테크,2012,053270,0
259,(주)구영테크,2013,053270,0
260,(주)구영테크,2014,053270,0
261,(주)구영테크,2015,053270,0
262,(주)구영테크,2016,053270,0
263,(주)구영테크,2017,053270,0
264,(주)구영테크,2018,053270,0
265,(주)구영테크,2019,053270,1
266,(주)구영테크,2020,053270,1
267,(주)구영테크,2021,053270,1
268,(주)국동,2011,005320,0
269,(주)국동,2012,005320,0
270,(주)국동,2013,005320,0
271,(주)국동,2014,005320,0
272,(주)국동,2015,005320,0
273,(주)국동,2016,005320,0
274,(주)국동,2017,005320,0
275,(주)국동,2018,005320,0
276,(주)국동,2019,005320,0
277,(주)국동,2020,005320,0
278,(주)국동,2021,005320,0
279,(주)국보,2011,001140,1
280,(주)국보,2012,001140,1
281,(주)국보,2013,001140,1
282,(주)국보,2014,001140,1
283,(주)국보,2015,001140,1
284,(주)국보,2016,001140,0
285,(주)국보,2017,001140,0
286,(주)국보,2018,001140,0
287,(주)국보,2019,001140,0
288,(주)국보,2020,001140,0
289,(주)국보,2021,001140,0
290,(주)국보디자인,2011,066620,1
291,(주)국보디자인,2012,066620,1
292,(주)국보디자인,2013,066620,1
293,(주)국보디자인,2014,066620,1
294,(주)국보디자인,2015,066620,1
295,(주)국보디자인,2016,066620,1
296,(주)국보디자인,2017,066620,1
297,(주)국보디자인,2018,066620,1
298,(주)국보디자인,2019,066620,1
299,(주)국보디자인,2020,066620,1
300,(주)국보디자인,2021,066620,1
301,(주)국순당,2011,043650,1
302,(주)국순당,2012,043650,1
303,(주)국순당,2013,043650,1
304,(주)국순당,2014,043650,1
305,(주)국순당,2015,043650,1
306,(주)국순당,2016,043650,1
307,(주)국순당,2017,043650,1
308,(주)국순당,2018,043650,1
309,(주)국순당,2019,043650,1
310,(주)국순당,2020,043650,1
311,(주)국순당,2021,043650,1
312,(주)국영지앤엠,2011,006050,0
313,(주)국영지앤엠,2012,006050,0
314,(주)국영지앤엠,2013,006050,0
315,(주)국영지앤엠,2014,006050,0
316,(주)국영지앤엠,2015,006050,0
317,(주)국영지앤엠,2016,006050,0
318,(주)국영지앤엠,2017,006050,0
319,(주)국영지앤엠,2018,006050,0
320,(주)국영지앤엠,2019,006050,0
321,(주)국영지앤엠,2020,006050,0
322,(주)국영지앤엠,2021,006050,0
323,(주)국전약품,2018,307750,0
324,(주)국전약품,2019,307750,0
325,(주)국전약품,2020,307750,0
326,(주)국전약품,2021,307750,0
327,(주)그래디언트,2011,035080,0
328,(주)그래디언트,2012,035080,0
329,(주)그래디언트,2013,035080,0
330,(주)그래디언트,2014,035080,1
331,(주)그래디언트,2015,035080,1
332,(주)그래디언트,2016,035080,1
333,(주)그래디언트,2017,035080,1
334,(주)그래디언트,2018,035080,1
335,(주)그래디언트,2019,035080,1
336,(주)그래디언트,2020,035080,1
337,(주)그래디언트,2021,035080,1
338,(주)그리티,2018,204020,1
339,(주)그리티,2019,204020,1
340,(주)그리티,2020,204020,1
341,(주)그리티,2021,204020,0
342,(주)글로벌스탠다드테크놀로지,2011,083450,1
343,(주)글로벌스탠다드테크놀로지,2012,083450,1
344,(주)글로벌스탠다드테크놀로지,2013,083450,1
345,(주)글로벌스탠다드테크놀로지,2014,083450,1
346,(주)글로벌스탠다드테크놀로지,2015,083450,0
347,(주)글로벌스탠다드테크놀로지,2016,083450,0
348,(주)글로벌스탠다드테크놀로지,2017,083450,0
349,(주)글로벌스탠다드테크놀로지,2018,083450,0
350,(주)글로벌스탠다드테크놀로지,2019,083450,0
351,(주)글로벌스탠다드테크놀로지,2020,083450,0
352,(주)글로벌스탠다드테크놀로지,2021,083450,1
353,(주)금비,2011,008870,1
354,(주)금비,2012,008870,1
355,(주)금비,2013,008870,1
356,(주)금비,2014,008870,1
357,(주)금비,2015,008870,1
358,(주)금비,2016,008870,1
359,(주)금비,2017,008870,1
360,(주)금비,2018,008870,1
361,(주)금비,2019,008870,1
362,(주)금비,2020,008870,1
363,(주)금비,2021,008870,1
364,(주)금양,2011,001570,1
365,(주)금양,2012,001570,1
366,(주)금양,2013,001570,1
367,(주)금양,2014,001570,1
368,(주)금양,2015,001570,1
369,(주)금양,2016,001570,0
370,(주)금양,2017,001570,0
371,(주)금양,2018,001570,0
372,(주)금양,2019,001570,0
373,(주)금양,2020,001570,0
374,(주)금양,2021,001570,0
375,(주)금호에이치티,2015,214330,1
376,(주)금호에이치티,2016,214330,1
377,(주)금호에이치티,2017,214330,1
378,(주)금호에이치티,2018,214330,0
379,(주)금호에이치티,2019,214330,0
380,(주)금호에이치티,2020,214330,0
381,(주)금호에이치티,2021,214330,0
382,(주)금화피에스시,2011,036190,1
383,(주)금화피에스시,2012,036190,1
384,(주)금화피에스시,2013,036190,1
385,(주)금화피에스시,2014,036190,1
386,(주)금화피에스시,2015,036190,1
387,(주)금화피에스시,2016,036190,1
388,(주)금화피에스시,2017,036190,1
389,(주)금화피에스시,2018,036190,1
390,(주)금화피에스시,2019,036190,1
391,(주)금화피에스시,2020,036190,1
392,(주)금화피에스시,2021,036190,1
393,(주)기가레인,2013,049080,1
394,(주)기가레인,2014,049080,1
395,(주)기가레인,2015,049080,0
396,(주)기가레인,2016,049080,0
397,(주)기가레인,2017,049080,0
398,(주)기가레인,2018,049080,0
399,(주)기가레인,2019,049080,0
400,(주)기가레인,2020,049080,0
401,(주)기가레인,2021,049080,0
402,(주)까뮤이앤씨,2011,013700,0
403,(주)까뮤이앤씨,2012,013700,0
404,(주)까뮤이앤씨,2013,013700,0
405,(주)까뮤이앤씨,2014,013700,0
406,(주)까뮤이앤씨,2015,013700,0
407,(주)까뮤이앤씨,2016,013700,1
408,(주)까뮤이앤씨,2017,013700,1
409,(주)까뮤이앤씨,2018,013700,1
410,(주)까뮤이앤씨,2019,013700,1
411,(주)까뮤이앤씨,2020,013700,1
412,(주)까뮤이앤씨,2021,013700,1
413,(주)나노,2014,187790,0
414,(주)나노,2015,187790,0
415,(주)나노,2016,187790,0
416,(주)나노,2017,187790,0
417,(주)나노,2018,187790,0
418,(주)나노,2019,187790,0
419,(주)나노,2020,187790,0
420,(주)나노,2021,187790,0
421,(주)나노신소재,2011,121600,0
422,(주)나노신소재,2012,121600,0
423,(주)나노신소재,2013,121600,0
424,(주)나노신소재,2014,121600,0
425,(주)나노신소재,2015,121600,0
426,(주)나노신소재,2016,121600,1
427,(주)나노신소재,2017,121600,1
428,(주)나노신소재,2018,121600,1
429,(주)나노신소재,2019,121600,1
430,(주)나노신소재,2020,121600,1
431,(주)나노신소재,2021,121600,1
432,(주)나스미디어,2013,089600,1
433,(주)나스미디어,2014,089600,1
434,(주)나스미디어,2015,089600,1
435,(주)나스미디어,2016,089600,1
436,(주)나스미디어,2017,089600,1
437,(주)나스미디어,2018,089600,1
438,(주)나스미디어,2019,089600,1
439,(주)나스미디어,2020,089600,1
440,(주)나스미디어,2021,089600,1
441,(주)나이스디앤비,2011,130580,1
442,(주)나이스디앤비,2012,130580,1
443,(주)나이스디앤비,2013,130580,1
444,(주)나이스디앤비,2014,130580,1
445,(주)나이스디앤비,2015,130580,1
446,(주)나이스디앤비,2016,130580,1
447,(주)나이스디앤비,2017,130580,1
448,(주)나이스디앤비,2018,130580,1
449,(주)나이스디앤비,2019,130580,1
450,(주)나이스디앤비,2020,130580,1
451,(주)나이스디앤비,2021,130580,1
452,(주)나이스홀딩스,2011,034310,1
453,(주)나이스홀딩스,2012,034310,1
454,(주)나이스홀딩스,2013,034310,1
455,(주)나이스홀딩스,2014,034310,1
456,(주)나이스홀딩스,2015,034310,1
457,(주)나이스홀딩스,2016,034310,1
458,(주)나이스홀딩스,2017,034310,1
459,(주)나이스홀딩스,2018,034310,1
460,(주)나이스홀딩스,2019,034310,1
461,(주)나이스홀딩스,2020,034310,1
462,(주)나이스홀딩스,2021,034310,1
463,(주)나이코,2014,192240,1
464,(주)나이코,2015,192240,0
465,(주)남성,2011,004270,1
466,(주)남성,2012,004270,1
467,(주)남성,2013,004270,1
468,(주)남성,2014,004270,1
469,(주)남성,2015,004270,1
470,(주)남성,2016,004270,1
471,(주)남성,2017,004270,1
472,(주)남성,2018,004270,1
473,(주)남성,2019,004270,1
474,(주)남성,2020,004270,1
475,(주)남성,2021,004270,1
476,(주)네오셈,2018,253590,0
477,(주)네오셈,2019,253590,0
478,(주)네오셈,2020,253590,0
479,(주)네오셈,2021,253590,1
480,(주)네오오토,2015,212560,0
481,(주)네오오토,2016,212560,0
482,(주)네오오토,2017,212560,0
483,(주)네오오토,2018,212560,1
484,(주)네오오토,2019,212560,1
485,(주)네오오토,2020,212560,1
486,(주)네오오토,2021,212560,1
487,(주)네오위즈홀딩스,2011,042420,0
488,(주)네오위즈홀딩스,2012,042420,0
489,(주)네오위즈홀딩스,2013,042420,0
490,(주)네오위즈홀딩스,2014,042420,0
491,(주)네오위즈홀딩스,2015,042420,0
492,(주)네오위즈홀딩스,2016,042420,0
493,(주)네오위즈홀딩스,2017,042420,0
494,(주)네오위즈홀딩스,2018,042420,0
495,(주)네오위즈홀딩스,2019,042420,0
496,(주)네오위즈홀딩스,2020,042420,0
497,(주)네오위즈홀딩스,2021,042420,0
498,(주)네오티스,2011,085910,1
499,(주)네오티스,2012,085910,1
500,(주)네오티스,2013,085910,1
501,(주)네오티스,2014,085910,1
502,(주)네오티스,2015,085910,1
503,(주)네오티스,2016,085910,1
504,(주)네오티스,2017,085910,1
505,(주)네오티스,2018,085910,1
506,(주)네오티스,2019,085910,1
507,(주)네오티스,2020,085910,1
508,(주)네오티스,2021,085910,1
509,(주)네오팜,2011,092730,1
510,(주)네오팜,2012,092730,1
511,(주)네오팜,2013,092730,1
512,(주)네오팜,2014,092730,1
513,(주)네오팜,2015,092730,1
514,(주)네오팜,2016,092730,1
515,(주)네오팜,2017,092730,1
516,(주)네오팜,2018,092730,1
517,(주)네오팜,2019,092730,1
518,(주)네오팜,2020,092730,1
519,(주)네오팜,2021,092730,1
520,(주)네패스,2011,033640,1
521,(주)네패스,2012,033640,1
522,(주)네패스,2013,033640,0
523,(주)네패스,2014,033640,0
524,(주)네패스,2015,033640,0
525,(주)네패스,2016,033640,0
526,(주)네패스,2017,033640,0
527,(주)네패스,2018,033640,0
528,(주)네패스,2019,033640,1
529,(주)네패스,2020,033640,0
530,(주)네패스,2021,033640,0
531,(주)넥센,2011,005720,1
532,(주)넥센,2012,005720,1
533,(주)넥센,2013,005720,1
534,(주)넥센,2014,005720,1
535,(주)넥센,2015,005720,1
536,(주)넥센,2016,005720,1
537,(주)넥센,2017,005720,1
538,(주)넥센,2018,005720,1
539,(주)넥센,2019,005720,1
540,(주)넥센,2020,005720,1
541,(주)넥센,2021,005720,1
542,(주)넥스지,2011,081970,0
543,(주)넥스지,2012,081970,0
544,(주)넥스지,2013,081970,0
545,(주)넥스지,2014,081970,0
546,(주)넥스지,2015,081970,1
547,(주)넥스지,2016,081970,0
548,(주)넥스지,2017,081970,0
549,(주)넥스턴바이오사이언스,2011,089140,1
550,(주)넥스턴바이오사이언스,2012,089140,1
551,(주)넥스턴바이오사이언스,2013,089140,1
552,(주)넥스턴바이오사이언스,2014,089140,1
553,(주)넥스턴바이오사이언스,2015,089140,1
554,(주)넥스턴바이오사이언스,2016,089140,1
555,(주)넥스턴바이오사이언스,2017,089140,1
556,(주)넥스턴바이오사이언스,2018,089140,1
557,(주)넥스턴바이오사이언스,2019,089140,1
558,(주)넥스턴바이오사이언스,2020,089140,0
559,(주)넥스턴바이오사이언스,2021,089140,0
560,(주)넥스트아이,2011,137940,1
561,(주)넥스트아이,2012,137940,1
562,(주)넥스트아이,2013,137940,1
563,(주)넥스트아이,2014,137940,1
564,(주)넥스트아이,2015,137940,1
565,(주)넥스트아이,2016,137940,1
566,(주)넥스트아이,2017,137940,1
567,(주)넥스트아이,2018,137940,1
568,(주)넥스트아이,2019,137940,0
569,(주)넥스트아이,2020,137940,0
570,(주)넥스트아이,2021,137940,0
571,(주)넥스틴,2020,348210,0
572,(주)넥스틴,2021,348210,0
573,(주)노랑풍선,2019,104620,1
574,(주)노랑풍선,2020,104620,0
575,(주)노랑풍선,2021,104620,0
576,(주)노루페인트,2011,090350,1
577,(주)노루페인트,2012,090350,1
578,(주)노루페인트,2013,090350,1
579,(주)노루페인트,2014,090350,1
580,(주)노루페인트,2015,090350,1
581,(주)노루페인트,2016,090350,1
582,(주)노루페인트,2017,090350,1
583,(주)노루페인트,2018,090350,1
584,(주)노루페인트,2019,090350,1
585,(주)노루페인트,2020,090350,1
586,(주)노루페인트,2021,090350,1
587,(주)노루홀딩스,2011,000320,1
588,(주)노루홀딩스,2012,000320,1
589,(주)노루홀딩스,2013,000320,1
590,(주)노루홀딩스,2014,000320,1
591,(주)노루홀딩스,2015,000320,1
592,(주)노루홀딩스,2016,000320,1
593,(주)노루홀딩스,2017,000320,1
594,(주)노루홀딩스,2018,000320,1
595,(주)노루홀딩스,2019,000320,1
596,(주)노루홀딩스,2020,000320,1
597,(주)노루홀딩스,2021,000320,1
598,(주)노바렉스,2018,194700,1
599,(주)노바렉스,2019,194700,1
600,(주)노바렉스,2020,194700,1
601,(주)노바렉스,2021,194700,1
602,(주)노바텍,2018,285490,0
603,(주)노바텍,2019,285490,0
604,(주)노바텍,2020,285490,0
605,(주)노바텍,2021,285490,1
606,(주)노블엠앤비,2012,106520,1
607,(주)노블엠앤비,2013,106520,1
608,(주)노블엠앤비,2014,106520,0
609,(주)노블엠앤비,2015,106520,0
610,(주)노블엠앤비,2016,106520,0
611,(주)노블엠앤비,2017,106520,0
612,(주)노블엠앤비,2018,106520,0
613,(주)노블엠앤비,2019,106520,0
614,(주)노블엠앤비,2020,106520,0
615,(주)노블엠앤비,2021,106520,0
616,(주)노터스,2019,278650,0
617,(주)노터스,2020,278650,0
618,(주)노터스,2021,278650,0
619,(주)녹십자,2011,006280,1
620,(주)녹십자,2012,006280,1
621,(주)녹십자,2013,006280,1
622,(주)녹십자,2014,006280,1
623,(주)녹십자,2015,006280,1
624,(주)녹십자,2016,006280,1
625,(주)녹십자,2017,006280,1
626,(주)녹십자,2018,006280,1
627,(주)녹십자,2019,006280,1
628,(주)녹십자,2020,006280,1
629,(주)녹십자,2021,006280,1
630,(주)녹십자셀,2011,031390,0
631,(주)녹십자셀,2012,031390,0
632,(주)녹십자셀,2013,031390,0
633,(주)녹십자셀,2014,031390,0
634,(주)녹십자셀,2015,031390,0
635,(주)녹십자셀,2016,031390,0
636,(주)녹십자셀,2017,031390,0
637,(주)녹십자셀,2018,031390,1
638,(주)녹십자셀,2019,031390,1
639,(주)녹십자셀,2020,031390,1
640,(주)녹십자엠에스,2014,142280,1
641,(주)녹십자엠에스,2015,142280,0
642,(주)녹십자엠에스,2016,142280,0
643,(주)녹십자엠에스,2017,142280,0
644,(주)녹십자엠에스,2018,142280,0
645,(주)녹십자엠에스,2019,142280,0
646,(주)녹십자엠에스,2020,142280,0
647,(주)녹십자엠에스,2021,142280,0
648,(주)녹십자웰빙,2019,234690,1
649,(주)녹십자웰빙,2020,234690,1
650,(주)녹십자웰빙,2021,234690,1
651,(주)녹십자홀딩스,2011,005250,1
652,(주)녹십자홀딩스,2012,005250,1
653,(주)녹십자홀딩스,2013,005250,1
654,(주)녹십자홀딩스,2014,005250,1
655,(주)녹십자홀딩스,2015,005250,1
656,(주)녹십자홀딩스,2016,005250,1
657,(주)녹십자홀딩스,2017,005250,1
658,(주)녹십자홀딩스,2018,005250,1
659,(주)녹십자홀딩스,2019,005250,1
660,(주)녹십자홀딩스,2020,005250,1
661,(주)녹십자홀딩스,2021,005250,1
662,(주)녹원씨엔아이,2011,065560,0
663,(주)녹원씨엔아이,2012,065560,0
664,(주)녹원씨엔아이,2013,065560,0
665,(주)녹원씨엔아이,2014,065560,0
666,(주)녹원씨엔아이,2015,065560,0
667,(주)녹원씨엔아이,2016,065560,0
668,(주)녹원씨엔아이,2017,065560,0
669,(주)녹원씨엔아이,2018,065560,0
670,(주)녹원씨엔아이,2019,065560,0
671,(주)녹원씨엔아이,2020,065560,0
672,(주)녹원씨엔아이,2021,065560,0
673,(주)농심,2011,004370,1
674,(주)농심,2012,004370,1
675,(주)농심,2013,004370,1
676,(주)농심,2014,004370,1
677,(주)농심,2015,004370,1
678,(주)농심,2016,004370,1
679,(주)농심,2017,004370,1
680,(주)농심,2018,004370,1
681,(주)농심,2019,004370,1
682,(주)농심,2020,004370,1
683,(주)농심,2021,004370,1
684,(주)농심홀딩스,2011,072710,1
685,(주)농심홀딩스,2012,072710,1
686,(주)농심홀딩스,2013,072710,1
687,(주)농심홀딩스,2014,072710,1
688,(주)농심홀딩스,2015,072710,1
689,(주)농심홀딩스,2016,072710,1
690,(주)농심홀딩스,2017,072710,1
691,(주)농심홀딩스,2018,072710,1
692,(주)농심홀딩스,2019,072710,1
693,(주)농심홀딩스,2020,072710,1
694,(주)농심홀딩스,2021,072710,1
695,(주)누리플랜,2011,069140,1
696,(주)누리플랜,2012,069140,0
697,(주)누리플랜,2013,069140,0
698,(주)누리플랜,2014,069140,0
699,(주)누리플랜,2015,069140,0
700,(주)누리플랜,2016,069140,0
701,(주)누리플랜,2017,069140,0
702,(주)누리플랜,2018,069140,0
703,(주)누리플랜,2019,069140,0
704,(주)누리플랜,2020,069140,0
705,(주)누리플랜,2021,069140,0
706,(주)누리플렉스,2011,040160,0
707,(주)누리플렉스,2012,040160,0
708,(주)누리플렉스,2013,040160,0
709,(주)누리플렉스,2014,040160,0
710,(주)누리플렉스,2015,040160,0
711,(주)누리플렉스,2016,040160,0
712,(주)누리플렉스,2017,040160,0
713,(주)누리플렉스,2018,040160,0
714,(주)누리플렉스,2019,040160,0
715,(주)누리플렉스,2020,040160,0
716,(주)누리플렉스,2021,040160,0
717,(주)뉴트리,2018,270870,1
718,(주)뉴트리,2019,270870,1
